Id,Date and Time,Location,Category,Admin close out comment,Sentiment
9A9A8E4C-80B7-4C67-9A78-549A080F35B1,2023-07-20 13:33:43.243,"51.8483238, 0.7242407",Safety - PPE,Driver was advised that delivery would be refused due to incorrect PPE,Hazard
51869E39-AE3B-46C7-AD6D-E55AEF86F644,2023-07-19 15:39:57.310,"51.8483062359421, 0.7235711265676192","Safety - Plant, Equipment & Tools",Lynch were called when their forklift for subcontractor was not working and a fitter was called out,Good Practice
38AF728B-5CB9-4D46-B3BF-05CDEC1E57C5,2023-07-31 08:18:03.963,"51.84798068852703, 0.7235662347445372",Environment - Ecology and Vegetation,NULL,Good Practice
381FD825-6B23-4143-AB48-D36401C27039,2023-08-10 09:24:42.663,NULL,Safety - Welfare Facilities,NULL,Hazard
EE285D2D-7DC9-43C5-A9EA-E95B363F0D60,2023-08-01 15:15:46.347,"51.84718535657852, 0.7227877449919307",Safety - Welfare Facilities,New back box fitted,Hazard
CBEF0F61-AC96-41F4-A99D-4AEA19147B0C,2023-08-03 15:24:02.777,"51.84796693830888, 0.7241627619419111",Safety - Practice (doing something outside the other categories),NULL,Good Practice
3FB2255B-008F-47F4-880F-1F1038F06F67,2023-08-18 09:49:04.567,"51.84818087237758, 0.7319298843246993",Safety - Housekeeping,Water emptied that morning,Hazard
36D79878-3309-43C2-ACA6-F3FC1E82DF64,2023-07-21 13:53:18.497,"51.84796536834189, 0.7236256136338964",Safety - Plant/Vehicle movement & People Interface,Reported to fls who has spoken to supervisor from subcontractors who have ordered it,Hazard
B39CD75A-0445-4859-AD7E-F23E6B957D07,2023-08-03 08:39:10.267,NULL,Safety - Housekeeping,NULL,Hazard
3F4D0DA4-906F-40E7-BC3C-C5AFB896C3E5,2023-08-03 15:08:45.453,NULL,"Safety - Procedural (RAMS, Permits, Process etc.)",NULL,Hazard
2B81C7F6-ABFD-4AFD-AE06-381835061042,2023-08-04 08:16:22.510,"51.84781523283748, 0.7238709700821566","Safety - PPE ",NULL,Hazard
5EEDA13C-91BC-4BD0-986D-7E2267F21CB2,2023-08-04 08:17:48.337,"51.84763017003971, 0.7235993329971313","Safety - Procedural (RAMS, Permits, Process etc.)",NULL,Good Practice
CE8445C9-175B-4BCD-8CEF-02A505D05C91,2023-08-07 15:32:03.347,"51.8476815769143, 0.7237007413405339",Safety - Welfare Facilities,NULL,Hazard
6F0A8E8A-C04E-4147-8758-24F68C0040FE,2023-08-07 15:36:58.007,NULL,"Safety - PPE ",NULL,Hazard
AD3D0CFF-072B-41E0-856B-85C5BC880782,2023-08-07 15:33:13.150,"51.847946678634216, 0.7241180433378513",Safety - Welfare Facilities,NULL,Good Practice
70D7119C-9693-4457-B049-B13797EF2D3C,2023-08-09 09:06:31.827,NULL,Safety - Housekeeping,NULL,Good Practice
BCDE2217-C5E0-42A4-9EB7-7E12BF87E451,2023-08-09 09:12:32.233,"51.848601356363496, 0.732198429792897",Safety - Housekeeping,NULL,Hazard
F912C651-3640-4135-B256-A4C596FC4BAF,2023-08-09 13:57:48.247,"51.5098, -0.0901",Environment - Pollution - Water course,NULL,Good Practice
3938BB33-FA67-4E0D-A5EF-B91B2A4F2AD4,2023-08-09 13:56:35.883,"51.5098, -0.0901",Environment - Pollution - Water course,NULL,Good Practice
E225FD62-2623-47FD-8AA8-EC06E122283E,2023-08-09 13:55:05.897,"51.5098, -0.0901",Environment - Pollution - Water course,NULL,Hazard
7952D5C0-2BBF-472B-8477-23EDED300E53,2023-08-09 15:20:00.833,"51.84788741053175, 0.7234384119168302","Safety - Conditions (Weather, Ground, Water way etc.)",NULL,Hazard
242B1358-04C2-4A50-B326-0269B717D836,2023-08-09 09:32:32.000,NULL,Safety - PPE,NULL,Hazard
3DD146BC-FC9C-43C1-B090-8F923ABDCD68,2023-08-11 15:08:54.287,"51.84818078374243, 0.7242299047634937",Safety - Practice (doing something outside the other categories),NULL,Good Practice
769D7BE9-EC13-4E8E-92A3-CD4111852A5C,2023-08-16 09:14:54.897,"51.850862566042245, 0.7288244333835527",Safety - Housekeeping,NULL,Good Practice
0DF7D68D-8982-4543-9B0F-E052109A8996,2023-08-14 11:31:35.023,"51.84797945934283, 0.7236629463859553",Safety - Practice (doing something outside the other categories),NULL,Good Practice
3818A85B-1CC8-4840-A55D-0C47DD432E88,2023-07-31 08:15:50.493,"51.84798068852703, 0.7235662347445372",Environment - Pollution - Water course,Advice was given as to what the site in question should do (Costain consultancy on site there) but not A12 related. Good practice and attitude,Good Practice
5561EA25-05B1-4DC6-8957-2330A1A55811,2023-07-28 07:13:39.750,"51.847985157611106, 0.7236468858332581",Safety - PPE,Senior SHE advisor issued chin strap from Stores,Hazard
2A45651C-416D-463B-832C-425ACCE2B2C8,2023-07-28 14:25:39.307,"51.84782405796668, 0.7231403223279775","Safety - Plant, Equipment & Tools",O'Brien's made aware and will send a fitter to change to orange,Hazard
772D6861-73A2-473D-9FCE-7E1134807761,2023-07-31 08:12:18.997,"51.84798068852703, 0.7235662347445372",Environment - Waste Management,NULL,Good Practice
C9A6533D-4A56-432D-A3C1-91DAB3897CF1,2023-07-26 15:18:21.633,"51.848339, 0.723632","Safety - PPE ",Security told driver to wait in the cab until WJ provided him with the correct PPE,Hazard
05307373-D016-490C-8A41-A28F40E92840,2023-07-27 15:36:43.323,"51.84761720387679, 0.7233682306553479","Safety - Conditions (Weather, Ground, Water way etc.)",Extra mats laid on track in siggers to allow WJ’s rigid wagon access,Hazard
6646D726-C842-45C8-B9CC-F6DAFA1B8F3C,2023-07-27 15:39:48.690,"51.8478049674626, 0.7234533231291351","Safety - Conditions (Weather, Ground, Water way etc.)",NULL,Good Practice
66E72903-B1F2-4275-9D16-0E3D8B98A257,2023-08-01 07:25:42.810,"51.84767318962858, 0.7351529179868921",Environment - Archaeology / Heritage,Non archaeological supervisor and machine driver were informed this was not done and will be given a TBT,Hazard
660471CF-EB68-40D7-B94A-40ADC07D2EE9,2023-07-31 14:15:24.300,NULL,Safety - Excavations & Confined Spaces,Supervisor made aware that 2 hours is not acceptable for the drilling team to be standing,Good Practice
CD5A0B06-0809-46D8-AA07-E5CEBA4E1637,2023-07-31 14:12:05.247,NULL,Safety - Excavations & Confined Spaces,Supervisor made aware that 2 hours is not acceptable for the drilling team to be standing,Hazard
4EA444F9-469B-4B98-9B39-05FEF2E0326D,2023-07-31 08:19:59.887,"51.84798068852703, 0.7235662347445372",Environment - Waste Disposal (Compliance),Signage updated,Hazard
D286127D-3CDB-4139-844A-2C8F83EE6DC1,2023-07-31 08:40:48.107,"51.84798068852703, 0.7235662347445372",Environment - Ecology and Vegetation,NULL,Good Practice
821C4BFD-622A-48CD-8065-6DEFC50B0098,2023-07-31 08:25:03.380,"51.84798068852703, 0.7235662347445372",Environment - Pollution - Water course,NULL,Good Practice
E6C53F9D-F205-498B-9BF9-7A2EEDC145A6,2023-07-31 08:23:17.847,"51.84798068852703, 0.7235662347445372",Environment - Resources (energy/water/material),NULL,Good Practice
9D1BD6E9-CB20-4BDF-A949-098A69FDDA2D,2023-07-21 07:39:41.057,"51.84773193492615, 0.7242203385774904",Safety - PPE,NULL,Good Practice
E5474EEE-7677-4B83-B2E0-39DDC61EFB7A,2023-07-28 07:15:32.563,"51.847985157611106, 0.7236468858332581",Safety - PPE,NULL,Good Practice
72B70A6C-2072-4ED7-8D88-BCEE2D4E8219,2023-08-09 15:55:34.973,"51.8481874291545, 0.7318737110345941",Environment - Pollution - Water course,NULL,Good Practice
02DB09EF-259F-42AE-8B6D-82CF57F09F97,2023-07-31 08:36:16.013,"51.84798068852703, 0.7235662347445372",Environment - Resources (energy/water/material),NULL,Good Practice
EE36CD18-C241-4D99-8AE6-F742E338F762,2023-07-31 08:27:45.673,"51.84798068852703, 0.7235662347445372",Environment - Pollution - Water course,NULL,Good Practice
4ACDA783-C0F6-4FAE-A7DE-0E37302C3E0F,2023-07-25 15:24:58.033,"51.84727818651824, 0.7240300967330127","Safety - Plant, Equipment & Tools","Costain provided shovels for the archaeology works - as the tools brought to site were not insulated
",Good Practice
5561EA25-05B1-4DC6-8957-2330A1A55811,2023-07-28 07:13:39.750,"51.847985157611106, 0.7236468858332581",Safety - PPE,Senior SHE advisor issued chin strap from Stores,Hazard
2A45651C-416D-463B-832C-425ACCE2B2C8,2023-07-28 14:25:39.307,"51.84782405796668, 0.7231403223279775","Safety - Plant, Equipment & Tools",O'Brien's made aware and will send a fitter to change to orange,Hazard
532BE38C-CD40-4193-B4A8-5F5E9BD7AAB5,2023-07-28 14:27:14.427,"51.84817949250918, 0.7233271506745309","Safety - Plant, Equipment & Tools","Contractor made aware and will send a fitter to change to orange
",Good Practice
772D6861-73A2-473D-9FCE-7E1134807761,2023-07-31 08:12:18.997,"51.84798068852703, 0.7235662347445372",Environment - Waste Management,NULL,Good Practice
975E73BB-C6A4-40D2-80A9-86F8E8BA68EB,2023-07-31 08:14:07.310,"51.84798068852703, 0.7235662347445372",Environment - Resources (energy/water/material),NULL,Good Practice
F3301771-E293-4839-8032-9877100699FD,2023-07-25 15:23:57.007,"51.847147880152065, 0.7241605469500012","Safety - Plant, Equipment & Tools","Costain provided shovels for the archaeology works - as the tools brought to site were not insulated
",Hazard
2A45651C-416D-463B-832C-425ACCE2B2C8,2023-07-28 14:25:39.307,"51.84782405796668, 0.7231403223279775","Safety - Plant, Equipment & Tools",O'Brien's made aware and will send a fitter to change to orange,Hazard
BFE6703F-34F9-4528-B8EE-98444B225D18,2023-07-07 12:51:19.517,NULL,"Safety - Procedural (RAMS, Permits, Process etc.)","Yes, displayed on TV screens",Hazard
5ECD3A2E-1F20-4F78-A125-D3689A6CE85C,2023-07-07 12:52:16.610,NULL,"Safety - Procedural (RAMS, Permits, Process etc.)","Yes, fire risk assessment has been briefed on arrival to site and there are adequate trained fire marshalls",Hazard
4D0A29E8-2EB2-4FA7-96BD-DE3113C2EA83,2023-07-19 09:53:00.487,"51.8426267, 0.7231926","Safety - Procedural (RAMS, Permits, Process etc.)",discussed passport requirements and requirements to sign in with NH,Hazard
381FD825-6B23-4143-AB48-D36401C27039,2023-08-10 09:24:42.663,NULL,Safety - Welfare Facilities,NULL,Hazard
B016692D-D1E7-4150-872C-49D11B0911C7,2023-08-29 14:18:32.400,"51.509827, -0.090167","Safety - Plant, Equipment & Tools",NULL,Good Practice
6BF65BDA-507F-4C52-979F-96B66CDA3B94,2023-09-14 13:57:55.807,"51.5098, -0.0901",Safety - Practice (doing something outside the other categories),NULL,Good Practice
55646AE9-EED9-4343-A362-0C87F314A562,2023-07-05 15:59:39.777,"51.84649105610946, 0.7229653946176606","Safety - Plant, Equipment & Tools",Impact driver with no ball on the socket was sent back to Speedy a replacement is being sent,Good Practice
1FAAD2F4-FC48-4D8D-B7E6-37A57AC375E6,2023-07-13 15:44:41.713,"51.84796399392621, 0.7237064248481184","Safety - Plant, Equipment & Tools",NULL,Good Practice
82762245-A1A0-4B6F-A398-6173B6753D35,2023-07-31 08:29:37.313,"51.84798068852703, 0.7235662347445372",Environment - Resources (energy/water/material),Pro-forma circulated and explained with headland ahead of commencement,Good Practice
A767C93C-F5AA-40FB-B929-23ADE0BBF360,2023-08-02 15:22:07.387,"51.84802263987963, 0.7236742848714783","Safety - Conditions (Weather, Ground, Water way etc.)",NULL,Good Practice
2FEC4318-1FB4-416A-9F9F-28320C9EC1AB,2023-08-02 15:20:09.120,"51.84810971499226, 0.7243913037843219","Safety - Conditions (Weather, Ground, Water way etc.)",NULL,Hazard
4BE0A29B-26BD-4DD3-9C4B-67A87FF3F0BF,2023-07-04 07:34:59.450,"51.847981358912776, 0.7236262334153226","Safety - Slip, Trip or Fall on same level",FLS descaled urinal - no further issues reported,Hazard
69926CC3-4F1D-435E-A077-7FA01A666CDF,2023-07-05 12:52:12.537,NULL,"Safety - Electrical Safety ",Cable removed and covered,Hazard
2E603703-57E9-4AD7-AFA7-6081076F8472,2023-07-12 06:46:12.610,"51.848331, 0.723622",Environment - Ecology and Vegetation,Sub-contracted the work to Anglia Tree,Hazard
2E603703-57E9-4AD7-AFA7-6081076F8472,2023-07-12 06:46:12.610,"51.848331, 0.723622",Environment - Ecology and Vegetation,Sub-contracted the work to Anglia Tree,Hazard
CF066A98-3409-4508-BA46-54F3FFCD9C8A,2023-08-03 11:30:52.330,"51.8482066, 0.7239516",Safety - PPE,NULL,Hazard
47B8D61E-EACA-4299-8371-0D876E25E856,2023-08-03 15:22:24.627,"51.84675100514561, 0.7236873619896267",Safety - Practice (doing something outside the other categories),NULL,Hazard
E61391DD-B252-41BA-A8D6-53C39C47A580,2023-08-03 22:10:32.560,NULL,Safety - Housekeeping,NULL,Good Practice
CF4AA6E5-7741-49AB-BC25-4580EA27572C,2023-08-07 12:06:07.473,"51.84795999713259, 0.7236272560334652",Environment - Pollution - Air quality / dust,NULL,Good Practice
E3ECB25F-5607-49B4-9365-65AB08C61321,2023-08-07 12:03:28.267,"51.84795999713259, 0.7236272560334652",Safety - PPE,NULL,Hazard
869ADB78-3D51-4A43-AA0C-59B749C8FA3E,2023-08-08 15:42:34.633,"51.84816712258676, 0.723955146279609","Safety - Procedural (RAMS, Permits, Process etc.)",NULL,Good Practice
C25D48B2-DBCA-491C-9BBF-1B7B67F0FE2B,2023-08-09 13:58:59.767,"51.5098, -0.0901",Environment - Resources (energy/water/material),NULL,Good Practice
C3E40C14-0236-46B4-A104-A2AF47196CA4,2023-08-10 10:35:48.287,NULL,Safety - Plant/Vehicle movement & People Interface,NULL,Good Practice
EC565B7C-1878-4101-B141-BFAF5D9F5E7A,2023-08-09 10:34:41.000,NULL,Safety - Welfare Facilities,NULL,Good Practice
1EF28AA5-1FCD-482B-A1FC-B81080A660E2,2023-08-08 15:37:33.443,"51.84761637064474, 0.7237009563614549","Safety - Procedural (RAMS, Permits, Process etc.)",NULL,Hazard
29ECDBEC-6793-4D30-A12D-62B16EC8C616,2023-08-09 10:44:03.860,"51.8454089425478, 0.7272147346318425",Safety - Plant/Vehicle movement & People Interface,NULL,Hazard
F1A4B661-2EDA-4703-B77F-E9C3892E29DE,2023-08-10 07:27:43.970,"51.848569572498434, 0.7321945252550718",Safety - Plant/Vehicle movement & People Interface,NULL,Hazard
98E902B0-1780-4AE6-B459-A0BA28A87C27,2023-08-10 07:26:44.820,"51.51103118729775, -0.08723498718897708",Safety - Plant/Vehicle movement & People Interface,NULL,Hazard
8C4B20AB-29E6-40FF-87B2-C0A158F8A953,2023-08-10 08:13:48.070,NULL,"Safety - Procedural (RAMS, Permits, Process etc.)",NULL,Hazard
BF2C4B76-58CE-45FE-A172-4A8A4CDDC13D,2023-08-09 09:35:52.000,NULL,Safety - Practice (doing something outside the other categories),NULL,Hazard
CA82C4DB-CBAB-41D5-95A3-5F8E29F13B9C,2023-08-10 09:40:39.343,NULL,Safety - Plant/Vehicle movement & People Interface,NULL,Hazard
0F29473D-8B12-4EBB-A5A6-DAE179D9B4FA,2023-08-10 09:48:53.550,NULL,Safety - Welfare Facilities,NULL,Hazard
F85E6956-BC85-435D-9598-5660EEF48609,2023-08-09 10:08:52.000,NULL,"Safety - Procedural (RAMS, Permits, Process etc.)",NULL,Hazard
8BFDF301-5BEF-4321-BF66-F3D75BBD40CC,2023-08-10 15:39:07.050,"51.847602188230915, 0.7234394405121192",Safety - Plant/Vehicle movement & People Interface,NULL,Good Practice
3DD146BC-FC9C-43C1-B090-8F923ABDCD68,2023-08-11 15:08:54.287,"51.84818078374243, 0.7242299047634937",Safety - Practice (doing something outside the other categories),NULL,Good Practice
1A5AFA44-9B71-4C76-A644-A87751830FB3,2023-08-11 15:07:43.747,"51.8479627069648, 0.7244981362583092",Safety - Practice (doing something outside the other categories),NULL,Hazard
87617F77-405C-4CBB-BA00-2F9E55B282DE,2023-08-14 00:09:04.470,"51.8449306, 0.7243818",Safety - Housekeeping,NULL,Hazard
AC2D842B-C3E5-4099-83D5-A2DBF0A72F96,2023-08-14 11:18:43.297,"51.84797945934283, 0.7236629463859553",Safety - Practice (doing something outside the other categories),NULL,Hazard
2BB1E57D-652F-473D-B782-B6AC9F19A4AF,2023-08-16 09:30:06.797,"51.84858907602612, 0.7321611605800924",Safety - Housekeeping,NULL,Good Practice
16257688-A499-42DD-83A9-5A13B8A2F17C,2023-08-09 09:31:19.000,"51.8524726, 0.7328628",Safety - Welfare Facilities,NULL,Good Practice
AD3D0CFF-072B-41E0-856B-85C5BC880782,2023-08-07 15:33:13.150,"51.847946678634216, 0.7241180433378513",Safety - Welfare Facilities,NULL,Good Practice
299B2976-1D31-4E6B-91C6-7D98BD39AA43,2023-08-09 09:30:52.000,NULL,"Safety - Procedural (RAMS, Permits, Process etc.)",NULL,Hazard
F9D2A428-85BA-4A03-9011-CE3D0BFABDB0,2023-08-09 09:27:26.000,NULL,"Safety - Procedural (RAMS, Permits, Process etc.)",NULL,Hazard
0FF65368-2EDC-45D3-ADBA-3147CACA9B1A,2023-08-10 09:52:05.917,NULL,Safety - Welfare Facilities,NULL,Hazard
BF2C4B76-58CE-45FE-A172-4A8A4CDDC13D,2023-08-09 09:35:52.000,NULL,Safety - Practice (doing something outside the other categories),NULL,Hazard
299B2976-1D31-4E6B-91C6-7D98BD39AA43,2023-08-09 09:30:52.000,NULL,"Safety - Procedural (RAMS, Permits, Process etc.)",NULL,Hazard
D9780866-FC8C-480A-938C-D3E0E76F7405,2023-08-09 09:50:14.000,NULL,"Safety - Slip, Trip or Fall on same level",NULL,Hazard
58457825-38D7-403E-9D73-D832E2CEBE3F,2023-08-09 09:53:51.000,NULL,Environment - Resources (energy/water/material),NULL,Hazard
CA4EDA7B-9200-4620-92DF-8036150D22DA,2023-08-09 10:30:55.000,NULL,"Safety - Procedural (RAMS, Permits, Process etc.)",NULL,Hazard
A88ACC27-A2DA-41D0-8375-610D19CFD1ED,2023-08-09 10:37:36.000,NULL,"Safety - Procedural (RAMS, Permits, Process etc.)",NULL,Hazard
F7A64F3D-2AE7-4A05-B64C-91B35E0B8428,2023-08-09 10:47:12.000,NULL,Safety - Plant/Vehicle movement & People Interface,NULL,Hazard
0FA15127-97F0-4165-9E57-C2E1667CE7DA,2023-08-16 09:37:35.927,"51.84858907602612, 0.7321611605800924","Safety - Procedural (RAMS, Permits, Process etc.)",NULL,Hazard
CE8445C9-175B-4BCD-8CEF-02A505D05C91,2023-08-07 15:32:03.347,"51.8476815769143, 0.7237007413405339",Safety - Welfare Facilities,GAP fitter arrived safe day after call out as the welfare unit at Sherwood would not start up,Hazard
A767C93C-F5AA-40FB-B929-23ADE0BBF360,2023-08-02 15:22:07.387,"51.84802263987963, 0.7236742848714783","Safety - Conditions (Weather, Ground, Water way etc.)",NULL,Good Practice
2FEC4318-1FB4-416A-9F9F-28320C9EC1AB,2023-08-02 15:20:09.120,"51.84810971499226, 0.7243913037843219","Safety - Conditions (Weather, Ground, Water way etc.)",Extra matting has been laid around the borehole positions at Siggers to avoid slips trips and falls,Hazard
C31CEFC1-BD82-4A0E-9E2F-6BC3429B7CE9,2023-09-12 14:16:11.180,"51.5098, -0.0901",Safety - Welfare Facilities,Fitter called to repair unit,Hazard
FCEB7538-EBE4-47CA-A432-93026A0433DE,2023-09-12 14:46:13.947,"51.5098, -0.0901",Safety - Welfare Facilities,NULL,Good Practice
4400F704-E2C8-49A7-8AD2-DFE42F794EDB,2023-09-18 14:00:19.300,"51.5098, -0.0901",Safety - Welfare Facilities,Wernick contacted to repair tap,Hazard
DD017342-0330-41F8-BD14-2A9BE24A41C7,2023-08-09 10:06:06.000,NULL,"Safety - Procedural (RAMS, Permits, Process etc.)",NULL,Hazard
D9780866-FC8C-480A-938C-D3E0E76F7405,2023-08-09 09:50:14.000,NULL,"Safety - Slip, Trip or Fall on same level",Conrad organised boot cleaning equipment to go straight to site,Hazard
58457825-38D7-403E-9D73-D832E2CEBE3F,2023-08-09 09:53:51.000,NULL,Environment - Resources (energy/water/material),Lewis instructed O'Briens to clear the ditch,Hazard
0F29473D-8B12-4EBB-A5A6-DAE179D9B4FA,2023-08-10 09:48:53.550,NULL,Safety - Welfare Facilities,Conrad was resolving whilst we were on site,Hazard
12F8A1F5-E1D5-4D7F-84C4-05049EC6B42B,2023-08-09 10:53:36.000,NULL,Safety - Practice (doing something outside the other categories),NULL,Hazard
E13F0398-B940-45F7-B83E-2603B59AB44D,2023-08-09 10:50:23.000,NULL,"Safety - Slip, Trip or Fall on same level",NULL,Hazard
EAE58C3A-2A34-42DC-BF32-D6EA8C5D02A0,2023-08-09 10:51:44.000,NULL,"Safety - Conditions (Weather, Ground, Water way etc.)",NULL,Hazard
4B74D227-6EB7-47BD-89BB-D5BC13B186C1,2023-08-10 14:00:37.000,"51.84647154167543, 0.728391743407566",Safety - Plant/Vehicle movement & People Interface,NULL,Good Practice
D3A329EE-8DDE-4B26-84BC-C698D036AF5F,2023-08-14 15:51:03.407,"51.84801424843174, 0.7231727865910553",Safety - Plant/Vehicle movement & People Interface,NULL,Good Practice
03C817F5-650F-4EA0-9BF6-F9E778498447,2023-08-14 15:47:52.600,"51.8472607197462, 0.7229933582638592",Safety - Plant/Vehicle movement & People Interface,NULL,Hazard
0D70A632-3786-46AE-AE81-655F7932EE5A,2023-08-15 10:08:16.697,"51.84891802044749, 0.73154535891514",Environment - Archaeology / Heritage,NULL,Good Practice
96EA5593-E09C-44E1-B9E5-B729425B6C99,2023-08-15 15:22:13.783,"51.8473668692389, 0.7235882498744717","Safety - Conditions (Weather, Ground, Water way etc.)",NULL,Good Practice
3C7C269F-41EF-4125-A92E-F4F202C13EFE,2023-08-15 15:17:21.133,"51.84756330992598, 0.7226740149761257","Safety - Conditions (Weather, Ground, Water way etc.)",NULL,Hazard
6A02DE69-8766-44B8-80D7-AFA0EB37AE05,2023-08-16 09:16:18.130,"51.850862566042245, 0.7288244333835527",Safety - Plant/Vehicle movement & People Interface,NULL,Good Practice
769D7BE9-EC13-4E8E-92A3-CD4111852A5C,2023-08-16 09:14:54.897,"51.850862566042245, 0.7288244333835527",Safety - Housekeeping,NULL,Good Practice
2BB1E57D-652F-473D-B782-B6AC9F19A4AF,2023-08-16 09:30:06.797,"51.84858907602612, 0.7321611605800924",Safety - Housekeeping,NULL,Good Practice
4A6CF6E7-BD6C-459C-83F3-8B4ECFAB1599,2023-08-17 15:25:53.307,"51.847816779385994, 0.7235372034757637",Safety - Practice (doing something outside the other categories),NULL,Good Practice
3FB2255B-008F-47F4-880F-1F1038F06F67,2023-08-18 09:49:04.567,"51.84818087237758, 0.7319298843246993",Safety - Housekeeping,NULL,Hazard
2511D758-1E79-41E6-81BE-0E536858499A,2023-09-04 13:29:31.307,"51.8476931246874, 0.7228563702966895","Safety - Plant, Equipment & Tools",n/a,Good Practice
1518E6E7-E989-4469-BD0C-372A2EBA9BAB,2023-09-04 08:56:50.203,"51.81832759514326, 0.670111024545721","Safety - Conditions (Weather, Ground, Water way etc.)",Aaron put in a ramp onto the archaeological site so we didn’t need to lift our wheelbarrows on and off site because for the step,Good Practice
F6E2E577-A662-46CE-A4AA-3C8EBF5C70EE,2023-09-13 13:53:48.217,"51.5098, -0.0901","Safety - Plant, Equipment & Tools"," information to be taken off the scanner so we still have records",Good Practice
C31CEFC1-BD82-4A0E-9E2F-6BC3429B7CE9,2023-09-12 14:16:11.180,"51.5098, -0.0901",Safety - Welfare Facilities,Fitter called to repair unit,Hazard
CC75D521-B439-41F2-8F5D-77E72F04423F,2023-09-12 12:17:13.937,"51.847963987790266, 0.7236267321923235",Safety - Plant/Vehicle movement & People Interface,Driver spoken to and rebriefed,Hazard
FCEB7538-EBE4-47CA-A432-93026A0433DE,2023-09-12 14:46:13.947,"51.5098, -0.0901",Safety - Welfare Facilities,n/a,Good Practice
6DB6EA2F-6FD4-49C7-822F-CC49885FD665,2023-09-04 08:35:59.363,"51.84798468884425, 0.7236318188364114",Environment - Resources (energy/water/material),Taps have been turned off but cause of wastage needs to be sorted out,Hazard
758CF4F9-D39C-4FD2-BEDB-DCF45FD612A4,2023-09-04 13:28:14.693,"51.847973498409495, 0.7234364166742591","Safety - Plant, Equipment & Tools",Sunbelt been contacted to activate licenses for the software,Hazard
9B129B68-C0A7-484F-B40B-FCAB5DF766F0,2023-09-13 13:52:28.517,"51.5098, -0.0901","Safety - Plant, Equipment & Tools"," information to be taken off the scanner so we still have records",Hazard
5EEDA13C-91BC-4BD0-986D-7E2267F21CB2,2023-08-04 08:17:48.337,"51.84763017003971, 0.7235993329971313","Safety - Procedural (RAMS, Permits, Process etc.)",n/a,Good Practice
448F272E-C242-4BD5-B8CE-8C20B3B6C179,2023-10-03 12:06:19.737,"51.84177621340818, 0.7200798767904658",Safety - Third Party / Public,NULL,Good Practice
D3CFA105-156A-4BE6-A136-8B8854F8A3C6,2023-09-05 15:15:39.833,"51.84744197412949, 0.7226310595311647",Environment - Archaeology / Heritage,Trenches to be set out again immediately prior to work commencing,Hazard
42DBB294-8DEF-439E-868E-A0AEA2E60BE1,2023-09-01 14:19:53.953,"51.509827, -0.090167",Safety - Welfare Facilities,Relevant person contacted to repair TV,Hazard
04625E19-3A9F-48DF-8EA3-AB6CD53980DD,2023-09-01 11:55:12.970,"51.501731927923345, -0.12000848143361509",Safety - Welfare Facilities,Step fixed,Hazard
711D2334-D859-4531-AADD-54D67229EE66,2023-10-16 15:13:51.600,"51.84796763012847, 0.7233565428258437",Safety - Practice (doing something outside the other categories),NULL,Good Practice
FE56584A-30F0-4E9A-BE7B-CF13231773FC,2023-10-16 15:12:25.597,"51.84781793434217, 0.7249208651891292","Safety - Conditions (Weather, Ground, Water way etc.)",NULL,Good Practice
0A74781C-08B2-474E-853D-17F7D6510D3C,2023-08-31 09:04:24.443,"51.82111346626556, 0.66794906716211","Safety - Procedural (RAMS, Permits, Process etc.)",Stopped the machine and reported issue. New permit issued,Hazard
