text,predicted_label
"- Crane on Site Ready to lift Precast L-unit
- Installation of 4 x 2m and 2 x 1m Precast L-Units 
- Steel fixing MB3-14t
- Striking formwork in Muck Bin 2 ",Hazard
"- Crane on Site Ready to lift Precast L-unit
- Installation of 4 x 2m and 2 x 1m Precast L-Units 
- Steel fixing MB3-14t
- Striking formwork in Muck Bin 2 ",Hazard
10:00 - 11:00 - 2nd muck away to collect ballast,Hazard
first skip of concrete poured ,Hazard
"Last inert spoil delivered was  at 15:50, GBRF mainline Loco arrived on the site at 17:25. All plants and machines  checked after shift, they had plant nappy underneath. Doors locked, no issues or concern to report. Site is secure and safe for next shift.",Hazard
GF Shower works ongoing ,Hazard
Installing bogies in gantry 8 ,Hazard
Delayed works due to the civils availability of the 300T Emersons Crane and no tunnel team slingers available,Hazard
"Gantries 5,6,7,8 consoles for boggies fitted",Hazard
Topsoil Stripping Along NYGB and Vegetation strimming for Subsoil Stockpile,Hazard
Topsoil Stripping Along NYGB and Vegetation strimming for Subsoil Stockpile,Hazard
Continuing excavation of bay 8,Hazard
10:39 - 14:00: Concreting panel 5-2 mass fill and blinding next to panel 4/5. Total 46.2m3. 4x Kellys concrete operatives and 1x Kelly supervisor working on area.,Hazard
"Erection of scaffolding around panel 2 to allow kellys to steel fix top mats
14:00",Hazard
Hydrodem for repairs on panels 37.3 and 39.1.,Hazard
Laying and compacting 6N for excavator platform,Hazard
Removing access staircase - complete,Hazard
 SOS Briefing,Hazard
Lifted over final 20x8' container and stacked on to existing 3 in place.,Hazard
14:30-15:30 BREAK,Hazard
14:00 - 15:00: Lunch break,Hazard
Shift briefing,Hazard
Planning to pour concrete on Monday ,Hazard
#NAME?,Hazard
Rods being removed from GAB 03,Hazard
Leveling up the gape structure and burning down the clash ,Hazard
installed 3 posts ,Hazard
"Survey complete. Area of surveyed cleaned. All piles are 100mm in diameter, mixture of clay and cast iron. ",Hazard
Installing mesh in area 12 slab to be poured tomorrow ,Hazard
Continued M&E service connection works and checks,Hazard
"Pour of panel 38 for d-wall repair
Cleaning out shingle,
Installing shutters",Hazard
"- 13T Long Reach Excavator used to load Cappagh wagons with muck for removal offsite.
- Loading shovel moving muck from open muck bay area into enclosed bay area.",Hazard
"- 13T Long Reach Excavator used to load Cappagh wagons with muck for removal offsite.
- Loading shovel moving muck from open muck bay area into enclosed bay area.",Hazard
Clean walkways and stairs.,Hazard
SOS Briefing,Hazard
started compacting bay 6 & 7,Hazard
08:00 - 12:00 | Continuing boring of RC501 in portal area.,Hazard
Scaffolders removing edge protection after completion of cover meter scans,Hazard
"11:27 - 15:15 | Concreting PBS 114 (Cut off level 15.4m taped down, 10.993mOD, 2.263m above design cut off level)
 - Wagon 1, 11:27 - 11:35, Slump 630mm
 - Wagon 2, 11:53 - 12:00, Slump 590mm
 - Wagon 3, 12:13 - 12:20, Slump 600mm
 - Wagon 4, 12:42 - 12:50, Slump 610mm
 - Wagon 5, 13:09 - 13:18, Slump 620mm
 - Wagon 6, 13:25 - 13:32, Slump 590mm
 - Wagon 7, 13:56 - 14:05, Slump 590mm
 - Wagon 8, 15:07 - 15:15, Slump 620mm 
Notes: Wagons 1 - 7 had 7m3, Wagon 8 @ 4.5m3, Cumulative total of 53.5m3. 5 cubes taken from wagon 2.",Hazard
"Anchor Drilling: 1no (270) Total Anchors installed today: 2no - (270, 332) Total Anchors installed this week: 12no - (263,269,270,271,272,274,327,328,329,331,332,351) Total number of anchors fully grouted(out of 437, not including zone G) 313no: (01 - 145 +136A = 146no), (147 - 150 = 4no), (153 - 155 = 3no), (158 - 159 = 2no), (162 - 165 = 4), (167 - 197 = 30n0), (212 - 220 = 9no), (230 - 262 = 32no), (263 - 269 = 7no), (270-272,274), (327-329,331- 332), (335 - 342 = 8no), (351 - 354 = 4no), (359 - 416 = 57no)

",Hazard
"Anchor Drilling: 1no (270) Total Anchors installed today: 2no - (270, 332) Total Anchors installed this week: 12no - (263,269,270,271,272,274,327,328,329,331,332,351) Total number of anchors fully grouted(out of 437, not including zone G) 313no: (01 - 145 +136A = 146no), (147 - 150 = 4no), (153 - 155 = 3no), (158 - 159 = 2no), (162 - 165 = 4), (167 - 197 = 30n0), (212 - 220 = 9no), (230 - 262 = 32no), (263 - 269 = 7no), (270-272,274), (327-329,331- 332), (335 - 342 = 8no), (351 - 354 = 4no), (359 - 416 = 57no)

",Hazard
"Temperature - 15%
Wind speed - 5mph
Rainfall - 1%
",Hazard
"Concrete pour slab 1 – 290m3 
",Hazard
"Concrete pour slab 1 – 290m3 
",Hazard
"SOS briefing delivered, everyone understood and signed by workforce. Site inspection completed around fence line, sidings, inert stockpile and loading area. 2 x Hitachi shovel operations on stockpile area managing stockpile to front wall. 2 x RFS Hitachi 350 excavator casting material on stockpile. 2x RFS 690 Hitachi material handler loading rail wagons. inert spoil road deliveries Gordon and Walsh from  (Euston)  Quattro road sweeper cleaning haul road, truck routes and loading pad. Last road delivery Tip at 15:43, total weight delivered 340 ,220 tons. 6M04 Barrington train arrived on site at 17:20. RFS loaded and weighed the rail wagons. 6o39 the second cliff train depart from the site at 21:37. construction team removed traffic marshal cabin, tower light and concert blocks (VCB) from area 3 on stockpile. .  ",Hazard
"SOS briefing delivered, everyone understood and signed by workforce. Site inspection completed around fence line, sidings, inert stockpile and loading area. 2 x Hitachi shovel operations on stockpile area managing stockpile to front wall. 2 x RFS Hitachi 350 excavator casting material on stockpile. 2x RFS 690 Hitachi material handler loading rail wagons. inert spoil road deliveries Gordon and Walsh from  (Euston)  Quattro road sweeper cleaning haul road, truck routes and loading pad. Last road delivery Tip at 15:43, total weight delivered 340 ,220 tons. 6M04 Barrington train arrived on site at 17:20. RFS loaded and weighed the rail wagons. 6o39 the second cliff train depart from the site at 21:37. construction team removed traffic marshal cabin, tower light and concert blocks (VCB) from area 3 on stockpile. .  ",Hazard
"SOS briefing delivered, everyone understood and signed by workforce. Site inspection completed around fence line, sidings, inert stockpile and loading area. 2 x Hitachi shovel operations on stockpile area managing stockpile to front wall. 2 x RFS Hitachi 350 excavator casting material on stockpile. 2x RFS 690 Hitachi material handler loading rail wagons. inert spoil road deliveries Gordon and Walsh from  (Euston)  Quattro road sweeper cleaning haul road, truck routes and loading pad. Last road delivery Tip at 15:43, total weight delivered 340 ,220 tons. 6M04 Barrington train arrived on site at 17:20. RFS loaded and weighed the rail wagons. 6o39 the second cliff train depart from the site at 21:37. construction team removed traffic marshal cabin, tower light and concert blocks (VCB) from area 3 on stockpile. .  ",Hazard
"SOS briefing delivered, everyone understood and signed by workforce. Site inspection completed around fence line, sidings, inert stockpile and loading area. 2 x Hitachi shovel operations on stockpile area managing stockpile to front wall. 2 x RFS Hitachi 350 excavator casting material on stockpile. 2x RFS 690 Hitachi material handler loading rail wagons. inert spoil road deliveries Gordon and Walsh from  (Euston)  Quattro road sweeper cleaning haul road, truck routes and loading pad. Last road delivery Tip at 15:43, total weight delivered 340 ,220 tons. 6M04 Barrington train arrived on site at 17:20. RFS loaded and weighed the rail wagons. 6o39 the second cliff train depart from the site at 21:37. construction team removed traffic marshal cabin, tower light and concert blocks (VCB) from area 3 on stockpile. .  ",Hazard
"SOS briefing delivered, everyone understood and signed by workforce. Site inspection completed around fence line, sidings, inert stockpile and loading area. 2 x Hitachi shovel operations on stockpile area managing stockpile to front wall. 2 x RFS Hitachi 350 excavator casting material on stockpile. 2x RFS 690 Hitachi material handler loading rail wagons. inert spoil road deliveries Gordon and Walsh from  (Euston)  Quattro road sweeper cleaning haul road, truck routes and loading pad. Last road delivery Tip at 15:43, total weight delivered 340 ,220 tons. 6M04 Barrington train arrived on site at 17:20. RFS loaded and weighed the rail wagons. 6o39 the second cliff train depart from the site at 21:37. construction team removed traffic marshal cabin, tower light and concert blocks (VCB) from area 3 on stockpile. .  ",Hazard
"SOS briefing delivered, everyone understood and signed by workforce. Site inspection completed around fence line, sidings, inert stockpile and loading area. 2 x Hitachi shovel operations on stockpile area managing stockpile to front wall. 2 x RFS Hitachi 350 excavator casting material on stockpile. 2x RFS 690 Hitachi material handler loading rail wagons. inert spoil road deliveries Gordon and Walsh from  (Euston)  Quattro road sweeper cleaning haul road, truck routes and loading pad. Last road delivery Tip at 15:43, total weight delivered 340 ,220 tons. 6M04 Barrington train arrived on site at 17:20. RFS loaded and weighed the rail wagons. 6o39 the second cliff train depart from the site at 21:37. construction team removed traffic marshal cabin, tower light and concert blocks (VCB) from area 3 on stockpile. .  ",Hazard
"SOS briefing delivered, everyone understood and signed by workforce. Site inspection completed around fence line, sidings, inert stockpile and loading area. 2 x Hitachi shovel operations on stockpile area managing stockpile to front wall. 2 x RFS Hitachi 350 excavator casting material on stockpile. 2x RFS 690 Hitachi material handler loading rail wagons. inert spoil road deliveries Gordon and Walsh from  (Euston)  Quattro road sweeper cleaning haul road, truck routes and loading pad. Last road delivery Tip at 15:43, total weight delivered 340 ,220 tons. 6M04 Barrington train arrived on site at 17:20. RFS loaded and weighed the rail wagons. 6o39 the second cliff train depart from the site at 21:37. construction team removed traffic marshal cabin, tower light and concert blocks (VCB) from area 3 on stockpile. .  ",Hazard
"Photogrammetry completed on Trial Holes 11A, 11B and 11C.",Hazard
Concreting works for the guide walls (Satellite Shaft) (Concrete activity started at approx.12:30 and finished at 14:30),Hazard
1.	NEXDORF Installing one of 2 main power cables from Phase 2 control rooms to storage silos.,Hazard
60/180T of muck away supplied to CSL. Need to investigate what happened to remaining wagons. resulted in significant stockpile left for the next day,Hazard
15:00 | CSL offsite.,Hazard
"Installation of drone slabs on mound 1 and 18 Inch gas main.
Areas in 18 Inch gas main excavated 300mm via hand dig to remove topsoil and reach subsoil level. Once excavated slabs are bedded in.",Hazard
"End of shift Summary:
1. McLaren rail installation to the launch ramp- Ongoing
2.Welding and bolting on base plate of push frame- completed.
3. Cutting off Left side plates of Push frame to bolt prop- completed.
4. Preparing the right side of the plate to cut off.",Hazard
"End of shift Summary:
1. McLaren rail installation to the launch ramp- Ongoing
2.Welding and bolting on base plate of push frame- completed.
3. Cutting off Left side plates of Push frame to bolt prop- completed.
4. Preparing the right side of the plate to cut off.",Hazard
#NAME?,Hazard
#NAME?,Hazard
SOS briefing,Hazard
Relocation of type 1 for backfill ramp area,Hazard
#NAME?,Hazard
Nevil Steadman on site 07:10am ,Hazard
13:00-15:10- Continued painting the staircase using the tower.,Hazard
13:00-15:10- Continued painting the staircase using the tower.,Hazard
"Started backfilling and pulling up timber sheet pile.
Total depth up to backfilling 1.2m",Hazard
Started breakout,Hazard
"Installation of shutters, drilling of holes, fixing of bolts, fixing of push pulls, plumbing and set to levels.",Hazard
#NAME?,Hazard
"11:00-11:40 BREAK
Engineer set out the location for panel 8&10 structural blinding stopend ",Hazard
10:00-11:00 Grouted Hanger Bar 4 to 13 litres,Hazard
10:00-11:00 Grouted Hanger Bar 4 to 13 litres,Hazard
11:00-14:00 2no. kelly's steel fixers installing reinforcement bars (BM690) to panel 13 upstand,Hazard
Operatives go for break,Hazard
Woodlands on break. ,Hazard
Clancy operatives arrive on site,Hazard
0430-0530: Materials cleared and equipment removed from TM/Work area,Hazard
 1 no. VacEx operator+ 1no. Operative using airlance to dig around Bt Comms service,Hazard
Break (10:30 - 11:00),Hazard
Break,Hazard
12:30-13:00  3no.Scaffolder installing edge protection around panel 11 ,Hazard
09:00 - 11:00 | Installing the cage in PESBE110 and PESBE104. Delivery and offloading of Cage for PESBE 095,Hazard
Break,Hazard
Conveyor back up and running,Hazard
1500 - 1630 C7 Anchor 149 Ø6inches DCP tubes inserted. 23.5m(4m x 6 - 0.5m).,Hazard
1500 - 1630 C7 Anchor 149 Ø6inches DCP tubes inserted. 23.5m(4m x 6 - 0.5m).,Hazard
"Anchors Anchor Drilling: 1no (153) Total Anchors installed today: 2no - (339 & 405) Total Anchors installed this week: 2no - (339 & 405)  Total number of anchors fully grouted(out of 440, not including zone G) 299no: 01 - 136A, 137 - 150,154 - 55, 162 - 165, 167 - 197, 212 - 220, 230 - 248, 250 - 262, 264, 266 - 268, 335 - 342, 359 - 416)",Hazard
"Anchors Anchor Drilling: 1no (153) Total Anchors installed today: 2no - (339 & 405) Total Anchors installed this week: 2no - (339 & 405)  Total number of anchors fully grouted(out of 440, not including zone G) 299no: 01 - 136A, 137 - 150,154 - 55, 162 - 165, 167 - 197, 212 - 220, 230 - 248, 250 - 262, 264, 266 - 268, 335 - 342, 359 - 416)",Hazard
"Anchors Anchor Drilling: 1no (153) Total Anchors installed today: 2no - (339 & 405) Total Anchors installed this week: 2no - (339 & 405)  Total number of anchors fully grouted(out of 440, not including zone G) 299no: 01 - 136A, 137 - 150,154 - 55, 162 - 165, 167 - 197, 212 - 220, 230 - 248, 250 - 262, 264, 266 - 268, 335 - 342, 359 - 416)",Hazard
"Anchors Anchor Drilling: 1no (153) Total Anchors installed today: 2no - (339 & 405) Total Anchors installed this week: 2no - (339 & 405)  Total number of anchors fully grouted(out of 440, not including zone G) 299no: 01 - 136A, 137 - 150,154 - 55, 162 - 165, 167 - 197, 212 - 220, 230 - 248, 250 - 262, 264, 266 - 268, 335 - 342, 359 - 416)",Hazard
08:30 - 09:20: Installed 3no. boxouts in panel 8,Hazard
"Sliding doors – repairs- complete
",Hazard
SOS briefing,Hazard
Installation of stadium lighting connections,Hazard
"11:45 -  | Concreting PEPN008

Slump flow test results:
1st wagon 7m3 @ 11:45 - 11:52; 610mm
2nd wagon 7m3 @ 11:52 - 11:58; 640mm
3rd wagon 7m3@ 12:15 - 12:22; 570mm
4th wagon 7m3 @ 12:39 - 13:03; 610mm
5th wagon 7m3 @ 13:08 - 13:29; 580mm
6th wagon 6.5m3 @ 13:35 - 13:48; 630mm",Hazard
"11:45 -  | Concreting PEPN008

Slump flow test results:
1st wagon 7m3 @ 11:45 - 11:52; 610mm
2nd wagon 7m3 @ 11:52 - 11:58; 640mm
3rd wagon 7m3@ 12:15 - 12:22; 570mm
4th wagon 7m3 @ 12:39 - 13:03; 610mm
5th wagon 7m3 @ 13:08 - 13:29; 580mm
6th wagon 6.5m3 @ 13:35 - 13:48; 630mm",Hazard
"11:45 -  | Concreting PEPN008

Slump flow test results:
1st wagon 7m3 @ 11:45 - 11:52; 610mm
2nd wagon 7m3 @ 11:52 - 11:58; 640mm
3rd wagon 7m3@ 12:15 - 12:22; 570mm
4th wagon 7m3 @ 12:39 - 13:03; 610mm
5th wagon 7m3 @ 13:08 - 13:29; 580mm
6th wagon 6.5m3 @ 13:35 - 13:48; 630mm",Hazard
"11:45 -  | Concreting PEPN008

Slump flow test results:
1st wagon 7m3 @ 11:45 - 11:52; 610mm
2nd wagon 7m3 @ 11:52 - 11:58; 640mm
3rd wagon 7m3@ 12:15 - 12:22; 570mm
4th wagon 7m3 @ 12:39 - 13:03; 610mm
5th wagon 7m3 @ 13:08 - 13:29; 580mm
6th wagon 6.5m3 @ 13:35 - 13:48; 630mm",Hazard
Third prop of second frame being lifted into compensation grout shaft. ,Hazard
Continued gunning male piles to expose rebar in surcharge area,Hazard
Backfilling section SW29 - SW36,Hazard
all are on break,Hazard
"Surface
- Lift BU gantry pieces into assembly position using 130t crane up to 10pm
- general housekeeping

Launch box:
- General housekeeping
",Hazard
Steel fixing B1 reinforcement for baseslab pour 2,Hazard
Kelly ops cutting top of sheet (P31) to 25.525m,Hazard
"Wall 13 North - 

10:00 - 10:30 - 2x fixers 1x groundman on w13n installing NF2 work just stopped",Hazard
Backfilled  excavation with 50mm  shingles ,Hazard
#NAME?,Hazard
Fitter using borrowed SCS shackles to fix rig.,Hazard
Switching drainage pipe out of pile mat over panel 5,Hazard
Stress UK - 1x Supervisor and 2x Operative 13:00 - 16:00 - Stressing position G12 to 325KN - incomplete - Test region 2 (Bay 6),Hazard
Number of L&A/ZUK operatives could not be verified as sign-in sheets were not provided,Hazard
"•	SOS briefed and signed.
•	21:00 Continuation of bentonite watch to P01 and P09, check every 2Hrs.
•	Timber upstand Fixed in place, western wall. 
•	Bentonite watch and Cleaner finished 05:00. 
Notes
Green-glove checked and full at start of shift. Timber Upstand fixed as far as instructed. 
",Hazard
0900 - 0945 Pre pour checks and concrete team awaiting first wagon to turn in ,Hazard
Break (10:00 - 10:30),Hazard
Formwork delivered from Dunstable and Peri,Hazard
No incident to report ,Hazard
Break,Hazard
Muck away duties x7,Hazard
HIAB on site.,Hazard
"Transition Zone to Copthall Excavation to 200mm above formation level from Ch 24,900 - Ch 24,930. ",Hazard
"Guide wall broken and taken out at the end of WRW Section 3, east side. Concrete stocked in Section 2 next to muck. Finished 12:00",Hazard
0930 - 1040 JCB6 Anchor 342 Ø6 inches DCP Tubes 21.5m(3.2m x 6 + 2.3) ,Hazard
0930 - 1040 JCB6 Anchor 342 Ø6 inches DCP Tubes 21.5m(3.2m x 6 + 2.3) ,Hazard
0930 - 1040 JCB6 Anchor 342 Ø6 inches DCP Tubes 21.5m(3.2m x 6 + 2.3) ,Hazard
Second wagon start pouring ,Hazard
Pouring concrete for D-wall repairs north of bubble V.,Hazard
09:15 - 09:30 - PGTBBS027 - H2B cage check by SCS engineers ,Hazard
SPUK have completed nine sheet pile extraction. This includes 4 reaction piles from the corners.,Hazard
SPUK have completed nine sheet pile extraction. This includes 4 reaction piles from the corners.,Hazard
Using one number 15t excavator to scrape the stone from the storage area within the woodlands subsoil stockpile. excavated material temporarily to be stockpiled in ID6 storage area. Excavated area will then allow more space for placement of subsoil.,Hazard
Electricians coming in and out throughout the day to install temporary lights to the hoarding,Hazard
Concrete slab broken out and excavation continued,Hazard
"First aid and fire point checks
",Hazard
"Mostly cloudy, clear sky and a light wind, temperature 17c.",Hazard
Benching and setting lid and raisers MH202,Hazard
"Decision made to not use floor saw, in TBS to use petrol saw for joints",Hazard
"Decision made to not use floor saw, in TBS to use petrol saw for joints",Hazard
Kilnbridge and SCS operatives continued hand breaking the concrete d-wall to the desired level. The laser level was used to determine the level.,Hazard
Ramp construction delayed due to heavy rain,Hazard
Zueblin still cleaning base of panel 5 before installing stoppends,Hazard
-	Confirmed concrete to be on site at 7am 25/02,Hazard
"•	Removal of Grundons vegetation phase 4 works 
•	Chipping of trees and brambles 

FEN left at 3pm
",Hazard
"•	Removal of Grundons vegetation phase 4 works 
•	Chipping of trees and brambles 

FEN left at 3pm
",Hazard
First wagon arrived on site at 09:50. Concrete pumping started at 10:00.,Hazard
Set the  laser level for concrete  pour byy scs engineer ,Hazard
"Steel fixing on abutment, completion of steel fixing on the North wingwall. The crane started to lift the shutters on for the internal face. Use of two MEWPS",Hazard
Excavation of bite two to final depth and middle bite to final depth. Completion by 10.00,Hazard
Lifting of sheet piles with 70t crane to from western side of CGT Shaft to Eastern side of CGT Shaft. ,Hazard
1000 - 1030 JCB4 Anchor 324 Bore hole survey completed ,Hazard
1000 - 1030 JCB4 Anchor 324 Bore hole survey completed ,Hazard
Lifting lugs holes too tight for the shackles to be used to lift the main drive off of the SPMT. Holes to be made wider to enable the use of the shackle,Hazard
"7:30-8:00- SOS briefing
8:00-11:00- general housekeeping and moving material
11:00-11:30- all operatives went on break 
11:30-13:00- general housekeeping and moving material
13:00-13:30- all operatives went on break
13:30-17:30- general housekeeping and moving material",Hazard
"10:45 - 15:26: Concreting PBS028
TOC was 27.6380mOD, and TOS was  18.20m tape down. [Design VS as built depth is within tolerance] 
Flow table test results:
1st wagon 7m3@ 10:45 - 10:48 - 580mm
2nd wagon 7m3@ 10:55 - 11:00 - 580mm  
3rd wagon 7m3@ 11:18 - 11:24 - 570mm
4th Wagon @ 11:30 failed flow test result and was sent back.
5th wagon 7m3@ 12:36 - 12:45 - 540mm
6th wagon 7m3@ 12:51 - 15:56 - 590mm
7th wagon 7m3@ 13:01 - 13:08 - 590mm
8th wagon 7m3@ 13:35 - 13:51 - 600mm
9th wagon 7m3@ 14:27 - 14:33 - 580mm
10th wagon 7m3@ 15:25 - 15:26 - 590mm


",Hazard
"10:45 - 15:26: Concreting PBS028
TOC was 27.6380mOD, and TOS was  18.20m tape down. [Design VS as built depth is within tolerance] 
Flow table test results:
1st wagon 7m3@ 10:45 - 10:48 - 580mm
2nd wagon 7m3@ 10:55 - 11:00 - 580mm  
3rd wagon 7m3@ 11:18 - 11:24 - 570mm
4th Wagon @ 11:30 failed flow test result and was sent back.
5th wagon 7m3@ 12:36 - 12:45 - 540mm
6th wagon 7m3@ 12:51 - 15:56 - 590mm
7th wagon 7m3@ 13:01 - 13:08 - 590mm
8th wagon 7m3@ 13:35 - 13:51 - 600mm
9th wagon 7m3@ 14:27 - 14:33 - 580mm
10th wagon 7m3@ 15:25 - 15:26 - 590mm


",Hazard
"10:45 - 15:26: Concreting PBS028
TOC was 27.6380mOD, and TOS was  18.20m tape down. [Design VS as built depth is within tolerance] 
Flow table test results:
1st wagon 7m3@ 10:45 - 10:48 - 580mm
2nd wagon 7m3@ 10:55 - 11:00 - 580mm  
3rd wagon 7m3@ 11:18 - 11:24 - 570mm
4th Wagon @ 11:30 failed flow test result and was sent back.
5th wagon 7m3@ 12:36 - 12:45 - 540mm
6th wagon 7m3@ 12:51 - 15:56 - 590mm
7th wagon 7m3@ 13:01 - 13:08 - 590mm
8th wagon 7m3@ 13:35 - 13:51 - 600mm
9th wagon 7m3@ 14:27 - 14:33 - 580mm
10th wagon 7m3@ 15:25 - 15:26 - 590mm


",Hazard
Installing Davit arm - finished 15:45,Hazard
Installing Davit arm - finished 15:45,Hazard
Installing Davit arm - finished 15:45,Hazard
