WeatherDescription,CloudCover,Temperature,FeelsLike,Humidity,Precipitation,Pressure,UVIndex,Visibility,WindSpeed,Reason
Partly cloudy,49.00,23.00,24.00,43.00,0.00,1017.00,6,10.00,5.00,Delay By Others
Partly cloudy,49.00,23.00,24.00,43.00,0.00,1017.00,6,10.00,5.00,Delay By Others
Patchy rain possible,77.00,9.00,6.00,83.00,0.10,1000.00,2,10.00,21.00,Ground Condition
Partly cloudy,39.00,14.00,12.00,81.00,0.00,1021.00,4,10.00,18.00,Plant
Sunny,3.00,9.00,8.00,79.00,0.00,1033.00,3,10.00,7.00,Materials
Sunny,32.00,18.00,18.00,52.00,0.00,1014.00,5,10.00,18.00,Delay By Company
Sunny,32.00,18.00,18.00,52.00,0.00,1014.00,5,10.00,18.00,Delay By Company
Overcast,100.00,10.00,7.00,84.00,0.00,1022.00,2,10.00,18.00,Subcontractor Performance
Overcast,100.00,10.00,7.00,84.00,0.00,1022.00,2,10.00,18.00,Subcontractor Performance
Overcast,100.00,3.00,0.00,88.00,0.00,1007.00,1,10.00,13.00,Subcontractor Performance
Overcast,100.00,3.00,0.00,88.00,0.00,1007.00,1,10.00,13.00,Subcontractor Performance
Sunny,0.00,24.00,24.00,34.00,0.00,1019.00,6,10.00,17.00,Plant
Sunny,20.00,25.00,25.00,35.00,0.00,1019.00,6,10.00,11.00,Plant
Sunny,0.00,24.00,24.00,34.00,0.00,1019.00,6,10.00,17.00,Plant
Sunny,3.00,0.00,-5.00,70.00,0.00,989.00,2,10.00,16.00,Weather
Sunny,3.00,0.00,-5.00,70.00,0.00,989.00,2,10.00,16.00,Weather
Light rain shower,100.00,12.00,9.00,83.00,0.20,989.00,3,10.00,35.00,Delay By Others
Partly cloudy,32.00,6.00,6.00,52.00,0.00,1014.00,3,10.00,2.00,Design Delays
Sunny,19.00,7.00,7.00,45.00,0.00,1013.00,3,10.00,2.00,Design Delays
Cloudy,64.00,21.00,21.00,47.00,0.00,1017.00,5,10.00,19.00,Plant
Patchy rain possible,79.00,8.00,6.00,87.00,0.00,1002.00,2,10.00,11.00,Document Control
Sunny,13.00,12.00,11.00,75.00,0.00,1010.00,4,10.00,12.00,Design Delays
Sunny,11.00,12.00,11.00,52.00,0.00,1025.00,4,10.00,10.00,Subcontractor Performance
Sunny,4.00,4.00,1.00,65.00,0.00,1017.00,2,10.00,12.00,Subcontractor Planning
Partly cloudy,43.00,6.00,1.00,51.00,0.00,1016.00,3,10.00,27.00,Weather
Light sleet,99.00,4.00,2.00,88.00,0.40,1022.00,1,9.00,12.00,Delay By Others
Light sleet,99.00,4.00,2.00,88.00,0.40,1022.00,1,9.00,12.00,Delay By Others
Overcast,100.00,10.00,7.00,80.00,0.00,1004.00,3,10.00,26.00,Plant
Overcast,100.00,10.00,7.00,82.00,0.00,1005.00,2,10.00,24.00,Plant
Cloudy,51.00,16.00,16.00,62.00,0.00,1018.00,4,10.00,3.00,Design Delays
Overcast,80.00,11.00,9.00,78.00,0.00,1000.00,3,10.00,22.00,Weather
Sunny,39.00,22.00,22.00,74.00,0.00,1014.00,6,10.00,15.00,Safety
Patchy rain possible,86.00,6.00,4.00,86.00,0.10,1022.00,2,10.00,8.00,Ground Condition
Cloudy,77.00,14.00,13.00,79.00,0.00,1021.00,3,10.00,17.00,Weather
Partly cloudy,23.00,5.00,1.00,70.00,0.00,1024.00,2,10.00,19.00,Planning
Sunny,9.00,18.00,18.00,59.00,0.00,1022.00,5,10.00,9.00,Subcontractor Performance
Sunny,9.00,18.00,18.00,59.00,0.00,1022.00,5,10.00,9.00,Subcontractor Performance
Partly cloudy,36.00,6.00,1.00,64.00,0.00,1020.00,3,10.00,30.00,Delay By Others
Overcast,100.00,10.00,8.00,67.00,0.00,1026.00,3,10.00,14.00,Design Delays
Cloudy,53.00,16.00,16.00,62.00,0.00,1014.00,1,10.00,9.00,Design Delays
Cloudy,80.00,16.00,16.00,66.00,0.00,1014.00,1,10.00,9.00,Design Delays
Cloudy,80.00,16.00,16.00,66.00,0.00,1014.00,1,10.00,9.00,Design Delays
Cloudy,53.00,16.00,16.00,62.00,0.00,1014.00,1,10.00,9.00,Design Delays
Cloudy,53.00,16.00,16.00,62.00,0.00,1014.00,1,10.00,9.00,Design Delays
Cloudy,66.00,22.00,22.00,72.00,0.00,1014.00,5,10.00,10.00,Experience/Competence
Overcast,100.00,9.00,6.00,93.00,2.80,1004.00,2,10.00,19.00,Weather
Heavy snow,100.00,1.00,-4.00,98.00,0.70,992.00,1,2.00,19.00,Engineering
Overcast,100.00,7.00,2.00,67.00,0.00,1008.00,2,10.00,43.00,Plant
Overcast,100.00,7.00,2.00,67.00,0.00,1008.00,2,10.00,43.00,Plant
Overcast,100.00,6.00,1.00,65.00,0.00,1007.00,2,10.00,44.00,Plant
Light rain,100.00,10.00,9.00,92.00,0.50,1016.00,3,9.00,9.00,Stakeholder
Patchy rain possible,100.00,11.00,9.00,91.00,0.00,1016.00,3,10.00,9.00,Stakeholder
Sunny,23.00,15.00,15.00,62.00,0.00,1012.00,5,10.00,18.00,Delay By Others
Overcast,93.00,12.00,11.00,81.00,0.00,1017.00,3,10.00,14.00,Subcontractor Interface
Overcast,100.00,10.00,7.00,83.00,0.00,1004.00,3,10.00,25.00,Plant
Sunny,5.00,37.00,35.00,15.00,0.00,1018.00,9,10.00,17.00,Weather
Overcast,100.00,4.00,2.00,87.00,0.00,1025.00,1,10.00,11.00,Planning
Sunny,4.00,19.00,19.00,62.00,0.00,1022.00,5,10.00,2.00,Safety
Heavy snow,100.00,2.00,-3.00,97.00,1.80,991.00,1,2.00,18.00,Supplier Performance
Sunny,38.00,0.00,-4.00,80.00,0.00,990.00,2,10.00,13.00,Supplier Performance
Partly cloudy,28.00,22.00,22.00,34.00,0.00,1013.00,6,10.00,19.00,Ground Condition
Partly cloudy,28.00,22.00,22.00,34.00,0.00,1013.00,6,10.00,19.00,Ground Condition
Partly cloudy,28.00,22.00,22.00,34.00,0.00,1013.00,6,10.00,19.00,Ground Condition
Partly cloudy,28.00,22.00,22.00,34.00,0.00,1013.00,6,10.00,19.00,Ground Condition
Sunny,12.00,18.00,18.00,68.00,0.00,1023.00,5,10.00,15.00,Delay By Others
Partly cloudy,47.00,12.00,10.00,72.00,0.00,1017.00,4,10.00,17.00,Subcontractor Planning
Patchy rain possible,70.00,14.00,12.00,69.00,0.10,1021.00,3,9.00,25.00,Subcontractor Planning
Patchy light rain,62.00,13.00,12.00,87.00,0.40,1015.00,3,9.00,14.00,Supplier Performance
Sunny,3.00,3.00,1.00,84.00,0.00,1037.00,2,10.00,6.00,Subcontractor Performance
Overcast,100.00,10.00,9.00,92.00,0.00,1016.00,3,10.00,9.00,Weather
Overcast,100.00,10.00,9.00,92.00,0.00,1016.00,3,10.00,9.00,Weather
Light drizzle,100.00,11.00,7.00,88.00,0.10,996.00,3,5.00,38.00,Subcontractor Interface
Overcast,100.00,8.00,6.00,90.00,0.00,1023.00,2,10.00,13.00,Planning
Sunny,0.00,27.00,27.00,34.00,0.00,1018.00,7,10.00,9.00,Supplier Performance
Partly cloudy,28.00,7.00,2.00,63.00,0.00,1021.00,3,10.00,29.00,Delay By Others
Sunny,12.00,11.00,9.00,47.00,0.00,1015.00,4,10.00,22.00,Design Delays
Partly cloudy,62.00,16.00,16.00,57.00,0.00,1017.00,5,10.00,7.00,Subcontractor Performance
Partly cloudy,61.00,15.00,15.00,59.00,0.00,1017.00,5,10.00,6.00,Subcontractor Performance
Sunny,14.00,17.00,17.00,62.00,0.00,1025.00,5,10.00,11.00,Subcontractor Performance
Partly cloudy,40.00,25.00,26.00,45.00,0.00,1015.00,7,10.00,22.00,Materials
Partly cloudy,61.00,15.00,15.00,59.00,0.00,1017.00,5,10.00,6.00,Delay By Company
Patchy rain possible,95.00,19.00,19.00,71.00,0.00,1004.00,4,10.00,10.00,Subcontractor Performance
Patchy rain possible,95.00,19.00,19.00,71.00,0.00,1004.00,4,10.00,10.00,Subcontractor Performance
Overcast,100.00,20.00,20.00,66.00,0.00,1014.00,5,10.00,18.00,Materials
Sunny,1.00,13.00,12.00,45.00,0.00,1033.00,4,10.00,11.00,Design Delays
Light rain,100.00,6.00,2.00,78.00,0.40,1010.00,2,9.00,29.00,Weather
Patchy rain possible,51.00,8.00,4.00,56.00,0.00,1016.00,2,10.00,26.00,Weather
Light rain,100.00,5.00,1.00,77.00,0.50,1011.00,2,9.00,28.00,Weather
Light drizzle,90.00,10.00,9.00,81.00,0.10,1002.00,3,4.00,10.00,Safety
Patchy rain possible,76.00,8.00,7.00,76.00,0.10,1007.00,2,10.00,7.00,Design Delays
Light drizzle,100.00,7.00,4.00,77.00,0.10,1014.00,2,5.00,18.00,Ground Condition
Light drizzle,100.00,6.00,3.00,73.00,0.10,1016.00,2,2.00,15.00,Ground Condition
Light drizzle,100.00,6.00,3.00,73.00,0.10,1016.00,2,2.00,15.00,Ground Condition
Sunny,14.00,17.00,17.00,60.00,0.00,1019.00,5,10.00,21.00,Subcontractor Performance
Sunny,0.00,5.00,3.00,75.00,0.00,1030.00,3,10.00,10.00,Planning
Overcast,99.00,8.00,6.00,93.00,0.00,1018.00,1,10.00,9.00,Weather
Mist,24.00,4.00,4.00,87.00,0.00,1035.00,1,5.00,3.00,Planning
Sunny,13.00,3.00,3.00,79.00,0.00,1036.00,2,10.00,3.00,Safety
Patchy light drizzle,91.00,11.00,7.00,66.00,0.10,993.00,3,7.00,46.00,Weather
Partly cloudy,50.00,6.00,3.00,61.00,0.00,1027.00,1,10.00,13.00,Plant
Partly cloudy,50.00,6.00,3.00,61.00,0.00,1027.00,1,10.00,13.00,Plant
Patchy rain possible,56.00,6.00,2.00,70.00,0.00,1026.00,2,10.00,22.00,Plant
Partly cloudy,52.00,5.00,3.00,73.00,0.00,1010.00,3,10.00,11.00,Delay By Others
Overcast,100.00,14.00,13.00,80.00,0.00,1016.00,3,10.00,16.00,Delay By Others
Sunny,14.00,21.00,21.00,45.00,0.00,1018.00,6,10.00,22.00,Materials
Overcast,73.00,19.00,19.00,52.00,0.00,1014.00,4,10.00,3.00,Resource
Sunny,47.00,17.00,17.00,59.00,0.00,1015.00,5,10.00,4.00,Resource
Light rain shower,98.00,16.00,16.00,88.00,0.30,1003.00,4,10.00,12.00,Safety
Overcast,100.00,8.00,6.00,62.00,0.00,1008.00,2,10.00,8.00,Plant
Overcast,100.00,8.00,6.00,62.00,0.00,1008.00,2,10.00,8.00,Plant
Overcast,100.00,8.00,6.00,62.00,0.00,1008.00,2,10.00,8.00,Plant
Overcast,100.00,8.00,6.00,62.00,0.00,1008.00,2,10.00,8.00,Plant
Overcast,100.00,8.00,6.00,62.00,0.00,1008.00,2,10.00,8.00,Plant
Heavy Rain,75.00,12.00,9.00,94.00,2.40,995.00,3,1.00,28.00,Subcontractor Performance
Heavy Rain,75.00,12.00,9.00,94.00,2.40,995.00,3,1.00,28.00,Subcontractor Performance
Sunny,3.00,9.00,9.00,73.00,0.00,1040.00,3,10.00,2.00,Subcontractor Interface
Sunny,8.00,16.00,16.00,37.00,0.00,1030.00,5,10.00,12.00,Ground Condition
Sunny,8.00,16.00,16.00,37.00,0.00,1030.00,5,10.00,12.00,Ground Condition
Overcast,100.00,10.00,8.00,58.00,0.00,1032.00,4,10.00,11.00,Ground Condition
Partly cloudy,43.00,6.00,1.00,64.00,0.00,1019.00,3,10.00,30.00,Delay By Others
Partly cloudy,36.00,6.00,1.00,64.00,0.00,1020.00,3,10.00,30.00,Delay By Others
Partly cloudy,48.00,5.00,2.00,83.00,0.00,1031.00,2,10.00,12.00,Experience/Competence
Sunny,34.00,5.00,2.00,83.00,0.00,1031.00,2,10.00,12.00,Experience/Competence
Partly cloudy,26.00,15.00,14.00,74.00,0.00,1025.00,4,10.00,11.00,Design Delays
Sunny,0.00,22.00,25.00,38.00,0.00,1024.00,4,10.00,26.00,Design Delays
Patchy rain possible,86.00,9.00,6.00,54.00,0.00,996.00,2,10.00,23.00,Weather
Partly cloudy,70.00,12.00,10.00,75.00,0.00,1003.00,4,10.00,14.00,Plant
Partly cloudy,70.00,12.00,10.00,75.00,0.00,1003.00,4,10.00,14.00,Plant
Overcast,100.00,11.00,8.00,78.00,0.00,1000.00,3,10.00,24.00,Weather
Partly cloudy,31.00,18.00,18.00,67.00,0.00,1015.00,5,10.00,18.00,Safety
Sunny,0.00,19.00,19.00,46.00,0.00,1026.00,4,10.00,7.00,Delay By Others
Sunny,0.00,19.00,19.00,46.00,0.00,1026.00,4,10.00,7.00,Delay By Others
Light rain,100.00,17.00,17.00,92.00,0.10,1013.00,4,9.00,22.00,Weather
Overcast,98.00,8.00,5.00,85.00,0.00,1025.00,2,10.00,18.00,Delay By Others
Haze,100.00,10.00,9.00,87.00,0.00,1018.00,2,7.00,11.00,Weather
Partly cloudy,74.00,14.00,15.00,63.00,0.00,1026.00,4,10.00,4.00,Subcontractor Performance
Overcast,66.00,12.00,10.00,73.00,0.00,1013.00,3,10.00,22.00,Delay By Others
Sunny,9.00,15.00,15.00,70.00,0.00,1023.00,4,10.00,7.00,Design Delays
Patchy rain possible,57.00,9.00,6.00,53.00,0.00,1019.00,2,10.00,20.00,Delay By Others
Patchy rain possible,57.00,9.00,6.00,53.00,0.00,1019.00,2,10.00,20.00,Delay By Others
Light rain,100.00,3.00,0.00,99.00,2.10,994.00,1,9.00,12.00,Resource
Partly cloudy,25.00,13.00,11.00,77.00,0.00,1020.00,3,10.00,20.00,Design Delays
Partly cloudy,25.00,13.00,11.00,77.00,0.00,1020.00,3,10.00,20.00,Design Delays
Sunny,1.00,37.00,36.00,16.00,0.00,1012.00,9,10.00,24.00,Weather
Sunny,2.00,3.00,2.00,81.00,0.00,1041.00,2,10.00,5.00,Resource
Sunny,2.00,3.00,2.00,81.00,0.00,1041.00,2,10.00,5.00,Resource
Sunny,2.00,3.00,2.00,81.00,0.00,1041.00,2,10.00,5.00,Resource
Partly cloudy,75.00,15.00,13.00,82.00,0.20,1018.00,3,10.00,39.00,Delay By Others
Sunny,28.00,21.00,21.00,48.00,0.00,1013.00,6,10.00,13.00,Plant
Sunny,4.00,22.00,22.00,49.00,0.00,1012.00,6,10.00,13.00,Plant
Sunny,28.00,21.00,21.00,48.00,0.00,1013.00,6,10.00,13.00,Plant
Sunny,4.00,22.00,22.00,49.00,0.00,1012.00,6,10.00,13.00,Plant
Partly cloudy,54.00,10.00,8.00,75.00,0.00,1017.00,4,10.00,16.00,Subcontractor Planning
Sunny,23.00,2.00,1.00,94.00,0.00,1035.00,2,7.00,4.00,Subcontractor Performance
Sunny,11.00,9.00,7.00,68.00,0.00,1023.00,3,10.00,12.00,Subcontractor Interface
Sunny,17.00,6.00,5.00,88.00,0.00,1028.00,3,10.00,6.00,Subcontractor Performance
Sunny,17.00,6.00,5.00,88.00,0.00,1028.00,3,10.00,6.00,Subcontractor Performance
Light Rain,25.00,9.00,6.00,76.00,0.00,1000.00,2,10.00,24.00,Weather
Light Rain,25.00,9.00,6.00,76.00,0.00,1000.00,2,10.00,24.00,Weather
Overcast,100.00,9.00,6.00,87.00,0.00,1004.00,2,10.00,27.00,Delay By Others
Overcast,100.00,2.00,-2.00,67.00,0.00,1010.00,1,10.00,13.00,Subcontractor Performance
Sunny,8.00,25.00,26.00,38.00,0.00,1028.00,7,10.00,10.00,Safety
Sunny,0.00,28.00,27.00,33.00,0.00,1027.00,7,10.00,11.00,Safety
Sunny,8.00,30.00,29.00,29.00,0.00,1026.00,7,10.00,13.00,Safety
Sunny,22.00,7.00,5.00,78.00,0.00,1015.00,3,10.00,10.00,Design Delays
Sunny,22.00,7.00,5.00,78.00,0.00,1015.00,3,10.00,10.00,Design Delays
Sunny,22.00,7.00,5.00,78.00,0.00,1015.00,3,10.00,10.00,Design Delays
Sunny,22.00,7.00,5.00,78.00,0.00,1015.00,3,10.00,10.00,Design Delays
Sunny,22.00,7.00,5.00,78.00,0.00,1015.00,3,10.00,10.00,Design Delays
Sunny,21.00,6.00,5.00,80.00,0.00,1015.00,3,10.00,9.00,Design Delays
Partly cloudy,58.00,13.00,11.00,64.00,0.00,1019.00,4,10.00,18.00,Commercial
Light rain,100.00,11.00,8.00,92.00,0.60,1007.00,3,9.00,30.00,Weather
Overcast,100.00,10.00,9.00,92.00,0.00,1016.00,3,10.00,9.00,Resource
Overcast,100.00,11.00,10.00,73.00,0.00,1008.00,3,10.00,7.00,Design Delays
Patchy rain possible,84.00,9.00,6.00,59.00,0.10,996.00,2,9.00,20.00,Subcontractor Planning
Sunny,11.00,10.00,10.00,73.00,0.00,1026.00,4,10.00,4.00,Design Delays
Overcast,100.00,9.00,6.00,84.00,0.00,1006.00,2,10.00,22.00,Subcontractor Performance
Sunny,0.00,20.00,20.00,40.00,0.00,1024.00,6,10.00,17.00,Materials
Partly cloudy,41.00,20.00,20.00,55.00,0.00,1010.00,5,10.00,37.00,Plant
Partly cloudy,75.00,6.00,4.00,81.00,0.00,1029.00,3,10.00,13.00,Supplier Performance
Partly cloudy,75.00,6.00,3.00,81.00,0.00,1029.00,2,10.00,15.00,Supplier Performance
Partly cloudy,75.00,11.00,8.00,54.00,0.00,1015.00,2,10.00,28.00,Plant
Patchy rain possible,55.00,13.00,13.00,88.00,0.10,996.00,3,10.00,6.00,Ground Condition
Light drizzle,100.00,12.00,10.00,88.00,0.10,1006.00,3,5.00,23.00,Subcontractor Performance
Light Rain,75.00,15.00,13.00,82.00,0.10,1004.00,1,6.00,19.00,Subcontractor Performance
Sunny,3.00,2.00,0.00,86.00,0.00,1038.00,2,10.00,7.00,Subcontractor Performance
Sunny,26.00,14.00,12.00,73.00,0.00,1012.00,4,10.00,18.00,Delay By Others
Sunny,12.00,9.00,8.00,79.00,0.00,1026.00,3,10.00,4.00,Delay By Others
Partly cloudy,75.00,15.00,14.00,72.00,0.00,1009.00,3,10.00,24.00,Materials
Overcast,100.00,13.00,11.00,87.00,0.00,1011.00,3,10.00,22.00,Materials
Sunny,3.00,12.00,10.00,66.00,0.00,1029.00,4,10.00,16.00,Subcontractor Performance
Sunny,1.00,10.00,8.00,72.00,0.00,1029.00,4,10.00,14.00,Subcontractor Performance
Sunny,6.00,3.00,1.00,81.00,0.00,1028.00,2,10.00,8.00,Design Delays
Light rain shower,58.00,12.00,9.00,80.00,0.10,1016.00,3,10.00,30.00,Plant
Light drizzle,100.00,13.00,10.00,84.00,0.30,993.00,3,2.00,31.00,Resource
Light drizzle,100.00,13.00,10.00,84.00,0.30,993.00,3,2.00,31.00,Resource
Rain Shower,75.00,12.00,10.00,82.00,0.00,1021.00,4,10.00,17.00,Weather
Sunny,5.00,15.00,14.00,57.00,0.00,1012.00,4,10.00,18.00,Plant
Sunny,8.00,28.00,27.00,33.00,0.00,1026.00,7,10.00,15.00,Subcontractor Performance
Sunny,0.00,28.00,28.00,37.00,0.00,1027.00,7,10.00,15.00,Subcontractor Performance
Overcast,100.00,19.00,19.00,77.00,0.00,1013.00,4,10.00,17.00,Subcontractor Performance
Overcast,100.00,8.00,4.00,78.00,0.00,1009.00,2,10.00,27.00,Delay By Others
Partly cloudy,54.00,22.00,22.00,54.00,0.00,1013.00,6,10.00,10.00,Delay By Others
Sunny,12.00,16.00,16.00,73.00,0.00,1023.00,5,10.00,14.00,Planning
Partly cloudy,66.00,12.00,10.00,75.00,0.00,1003.00,4,10.00,14.00,Plant
Partly cloudy,66.00,12.00,10.00,75.00,0.00,1003.00,4,10.00,14.00,Plant
Patchy rain possible,69.00,13.00,12.00,68.00,0.00,1004.00,3,10.00,14.00,Plant
Patchy rain possible,100.00,8.00,5.00,69.00,0.00,1002.00,2,10.00,17.00,Materials
Sunny,37.00,10.00,8.00,65.00,0.00,1025.00,3,10.00,11.00,Supplier Performance
Overcast,91.00,6.00,2.00,73.00,0.00,998.00,2,10.00,23.00,Subcontractor Performance
Overcast,91.00,6.00,2.00,73.00,0.00,998.00,2,10.00,23.00,Subcontractor Performance
Mist,91.00,8.00,7.00,95.00,0.00,1017.00,2,5.00,7.00,Delay By Others
Cloudy,66.00,17.00,17.00,76.00,0.00,1008.00,4,10.00,28.00,Delay By Others
Sunny,2.00,0.00,-2.00,84.00,0.00,1037.00,2,10.00,5.00,Safety
Sunny,0.00,13.00,10.00,38.00,0.00,989.00,4,10.00,44.00,Delay By Others
Overcast,69.00,2.00,0.00,93.00,0.00,1036.00,1,10.00,8.00,Safety
Overcast,69.00,2.00,0.00,93.00,0.00,1036.00,1,10.00,8.00,Safety
Overcast,69.00,2.00,0.00,93.00,0.00,1036.00,1,10.00,8.00,Safety
Overcast,80.00,11.00,9.00,78.00,0.00,1000.00,3,10.00,22.00,Subcontractor Performance
Sunny,19.00,27.00,27.00,41.00,0.00,1001.00,7,10.00,12.00,Supplier Performance
Sunny,19.00,24.00,25.00,46.00,0.00,1001.00,6,10.00,12.00,Supplier Performance
Sunny,19.00,27.00,27.00,41.00,0.00,1001.00,7,10.00,12.00,Supplier Performance
Overcast,100.00,12.00,10.00,65.00,0.00,1018.00,3,10.00,15.00,Safety
Partly cloudy,65.00,19.00,19.00,55.00,0.00,1013.00,1,10.00,19.00,Weather
Partly cloudy,33.00,13.00,11.00,87.00,0.00,1026.00,1,10.00,17.00,Delay By Company
Light drizzle,100.00,12.00,11.00,82.00,0.10,1020.00,3,2.00,12.00,Change
Overcast,93.00,15.00,15.00,87.00,0.00,1015.00,4,10.00,10.00,Subcontractor Performance
Sunny,2.00,25.00,26.00,38.00,0.00,1026.00,6,10.00,5.00,Resource
Sunny,3.00,4.00,1.00,75.00,0.00,1028.00,2,10.00,9.00,Subcontractor Planning
Moderate rain at times,74.00,13.00,11.00,80.00,2.00,1002.00,3,8.00,16.00,Weather
Moderate rain at times,74.00,13.00,11.00,80.00,2.00,1002.00,3,8.00,16.00,Weather
Freezing fog,56.00,-1.00,-3.00,97.00,0.00,1031.00,1,0.00,7.00,Resource
"Light Rain, Mist",75.00,9.00,6.00,93.00,2.60,985.00,3,5.00,31.00,Communication
Patchy rain possible,70.00,21.00,21.00,52.00,0.00,1019.00,5,10.00,15.00,Materials
Sunny,10.00,22.00,22.00,38.00,0.00,1017.00,6,10.00,20.00,Planning
Patchy heavy snow,63.00,2.00,-3.00,88.00,0.20,1007.00,1,7.00,23.00,Ground Condition
Partly cloudy,27.00,8.00,7.00,79.00,0.00,1016.00,1,10.00,8.00,Design Delays
Partly cloudy,27.00,8.00,7.00,79.00,0.00,1016.00,1,10.00,8.00,Design Delays
Partly cloudy,27.00,8.00,7.00,79.00,0.00,1016.00,1,10.00,8.00,Design Delays
Sunny,15.00,21.00,21.00,54.00,0.00,1014.00,6,10.00,14.00,Supplier Performance
