text,label
"Vehicles arriving at A12 Archaeology Site 30 currently have to park on the field within the mandatory PPE zone, and passengers then have to walk to the fenced area around the welfare. There is a risk that passengers or drivers leaving the vehicles could do so without the correct PPE.",Hazard
Farmer used access to site 30 and drove at speed along the boundary of excavation where people were working in close proximity to where he drove the machinery. ,Hazard
Headland RAMS to refer to the approved soil strip plan for each area,Hazard
Headland Archaeology RAMS to be signed by operations checker and SHE checker  ,Hazard
"Drone permission - surveyor asked permission to fly a drone over the work sites, he was advised of the requirements needed to gain permission",Hazard
"Dumper was parked next to welfare due to ground conditions, there was no clear segregation between plant and people as it travels across access route to site area.",Hazard
Power to welfare unit keeps cutting out,Hazard
Archaeology back hat said permit system limits count to 10 people to sign on and everyone has to sign on daily but it doesn't recognise people as the same ones daily,Hazard
Site footpath ,Good Practice
Designated smoking area sign installed at the Headland compound,Good Practice
No designated smoking area at the Headland compound,Hazard
Floodlighting not working by stores and female toilets ,Hazard
"Abusive member of the public handed a nitrous oxide cartridge to site security and asked that we not throw our rubbish in the hedgerow - security assured that it was not ours, man said he did not care using expletives ",Hazard
Water was low in the sink in the cabin,Good Practice
Welfare wouldn't turn on ,Good Practice
GAP fitter arrived safe day after call out as the welfare unit at Sherwood would not start up ,Good Practice
Permit system - ongoing issue with requirement to sign permit daily and limited to 10 people. ,Hazard
NH Passport access - black hat can't access passport to deliver daily SOS so Jakub drives over to site to help access brief.,Hazard
"Size of welfare cabin has been flagged as being small for 12 people, it is designed for 15 people, discussion to be had with Headlands management team about solutions - look at staggered breaks for example",Hazard
"Drone permission - surveyor asked permission to fly a drone over the work sites, he was advised of the requirements needed to gain permission",Hazard
Permit system - ongoing issue with requirement to sign permit daily and limited to 10 people. ,Hazard
Boot cleaning facility / scrappers - arch asked for scrappers as there is a lot of mud,Hazard
"Where mud has been scrapped from area where mats have been placed, it has been pushed to the edge of the drainage ditch to the field and some mud has entered the ditch",Hazard
Observation App is being used - no signs or QR codes around welfare ,Hazard
Assembly point sign is upside down leaning against welfare unit - needs to be addressed by Headland,Hazard
"Due to ground conditions - dump truck was being parked next to welfare, deputy supervisor raised this as the main risk - people, plant interface as he said most of the time - archaeologists have their heads down and don't think about their surroundings",Hazard
Area was not CAT scanned before being taken to the archaeological level,Hazard
GAP welfare unit in Sherwood not starting up ,Hazard
Extra matting has been laid around the borehole positions at Siggers to avoid slips trips and falls,Good Practice
Extremely poor weather making ground conditions poor in siggers ,Hazard
Delivery of new GAP welfare unit not working,Hazard
Fitter called to repair faulty welfare unit,Good Practice
Kitchen hot tap keeps dripping and is hard to turn off,Hazard
Black hat can't facilitate SOS brief and requires Costain black hat to use his ipad and sign arechaeologists on. Archaeologist black hat said they had to meet Jakub at site rather than doing SOS in compound but we confirmed SOS is to be conducted at site.,Hazard
Boot cleaning facility / scrappers - arch asked for scrappers as there is a lot of mud,Hazard
"Where mud has been scrapped from area where mats have been placed, it has been pushed to the edge of the drainage ditch to the field and some mud has entered the ditch",Hazard
Power to welfare unit keeps cutting out,Hazard
Training required for rail diary,Hazard
Requested that more mats be provided for parking area due to mud,Hazard
Track to site can become muddy - this is also a defined East Anglia Farm Ride route,Hazard
Conrad said he would put in a fence to create a path so we could get site site safely,Good Practice
A topsoil bund has been put in place at Sherwood to act as a barrier and  stop cars going into the archaeological dig area,Good Practice
No barrier to stop cars going into archaeology dig at Sherwood,Hazard
Machine struck land drain at level of archaeological horizon,Good Practice
WJ moved their material that will be collected to the concrete pad to avoid the lorries driving along the wet track mats ,Good Practice
Track mats wet and slippery at Siggers from the wet weather,Hazard
Good demarked areas segregating plant from pedestrian walkways ,Good Practice
Good clean site with work,Good Practice
Water was low in the sink in the cabin,Good Practice
Concrete blocks placed in front of gate at Siggers to stop intruders  entering again,Good Practice
Waste water in the bathroom is full,Hazard
Sunbelt been contacted to activate licenses for the software on the Trimble equipment that was not working correctly at Sherwood Archaeology area,Good Practice
The step onto site was such that we needed to lift our narrow on and off site,Good Practice
Areas are being rescanned and information to be taken off the scanner so we still have records,Good Practice
Delivery of new GAP welfare unit not working,Hazard
Delivery driver to site for headland was speeding through site. Driver asked to slow down,Hazard
Fitter called to repair faulty welfare unit,Good Practice
"On two occasions this morning, the hot water tap in the mens toilets had been left running as the stop valve isn’t working properly. This has resulted in water being wasted?",Hazard
Dozer with Trimble equipment not working correctly at Sherwood's Archaeology area ,Hazard
Due to having the RD8100 scanner replaced some areas had to be rescanned,Hazard
All subcontractors were ready for an early briefing before 7am,Good Practice
Good signage in clear and visible position observed at area 28 advising public of site,Good Practice
Previously set out trenches at nature reserve have been taken out,Hazard
TV in the canteen is not working properly,Hazard
The ladies toilet door now sticks when opening it on the step platform (where previously could move freely to full open) since last week indicating something has moved. Not preventing use of the facilities but thought best to raise a change.,Hazard
Strong start to the soil surveys ,Good Practice
Due to drier weather conditions most fields are now easier to move across ,Good Practice
"I note that the permit for archaeological excavation only says topsoil strip, not subsoil",Hazard
Lynch fitter called to deliver a missing pin on forklift bracket and was on site within the hour ,Good Practice
"We all (watcher, driver, Ailsa and Emma) need to agree before we strip an archeological area which way we will be stripping as to get the best out of the strip ",Hazard
"Upon learning our permit wasn’t correct, Vonnor got a new one sorted super quickly",Good Practice
It’s been more than a month flooding lights hasn’t been fixed yet. It’s getting darker at the night time so it’s hard for me to go for a patrol.,Hazard
Rabbit holes/scrapings present on spoil heaps at Buntings,Hazard
Subcontractors exceeding speed limit in car park ,Hazard
People speeding through site and the compound,Hazard
Driver of t19 atv has been spoken to about excessive speed through site. Requested to slow down,Hazard
Do not use mobile phones while driving whether on site or in the compound,Hazard
Areas are being rescanned and information to be taken off the scanner so we still have records,Good Practice
Vehicle MK21 USP brake lights faulty,Hazard
Delivery of new GAP welfare unit not working,Hazard
Delivery driver to site for headland was speeding through site. Driver asked to slow down,Hazard
Kitchen hot tap keeps dripping and is hard to turn off,Hazard
Strong start to the soil surveys ,Good Practice
Well done to Headlands archaeologists on the quality of their work at Area 28B,Good Practice
Sockets left on in monument office overnight ,Hazard
"Ladies toilets door (block of 3) does not fully open as gets stuck on the top of steps, you have to turn sideways and shuffle through. ",Hazard
Queries with the permit system not being raised to the suitable person,Hazard
Check on first aid kit in welfare of area 16 - no nitrile gloves inside kit.,Hazard
No first aid kit in welfare unit located at 11b,Hazard
Three shires plant nappies don’t have liners,Hazard
The ramp outside the canteen seems to be deteriating and I feel is becoming a trip hazard ,Hazard
While doing patrol i saw flooding lights cable end has power going through the generator has placed outside of the fence. I had make it secure and tight it inside the compound so no one can pull the cable from outside ,Hazard
"Permits ‘lock’ once 10 people are signed on and you can’t sign the following day to say the site is safe, meaning you need a new permit, which takes time to sign off on",Hazard
Costain said they would provide some knee pads for the archaeologists,Good Practice
Man and his dog walking down the edge of site,Hazard
"New welfare brought to siggers site, Jakub barriered it off with ped barriers and put correct signage up",Good Practice
Lynch operative medical expired,Hazard
Veg clearance in Jarwen,Good Practice
File issues with new GPS,Hazard
Dust suppression in effect down at Crown,Good Practice
Mattock snapped in half whilst using to open ground,Hazard
Plant refuelling observed and immediately stopped where excavator was clearing watercourse. ,Hazard
Metal barrier blocking off the ditch at Wheaton had fallen over,Hazard
Main door in to the ladies toilets is jammed again ,Hazard
Exercise undertaken to outline areas of temporary works that are likely to require water related permits,Good Practice
"Three shire trailer just seen leaving the yard, doesn’t have chapter 8 markings on ",Hazard
At the moment SHE alerts and briefings are only briefed on a  particular day alongside the SOS. We have a team that may only attend site and sign a SOS  briefing on occasional days if ever. How can we ensure this learning is shared with the wider team?,Hazard
"Three shires operative working in yard offloading tractor, was operating it without full Ppe on, no seat belt and no beacons activated. Operative was stopped working and spoken to.",Hazard
Due to having the RD8100 scanner replaced some areas had to be rescanned,Hazard
Subcontractor engineer stopped from working after being found on-site - not signed in at security nor had an SOS briefing,Good Practice
"Due to lack of a scraper, operatives had to remove mud from boots against the bottom of railings around the welfare.",Good Practice
Kay has conducted an immense piece of work in developing our projects Low Carbon Opportunities Register. This is a vital piece of work that has helped us through the baselining process and one that will continue to help us identify and save carbon throughout the entire project,Good Practice
Lynch Hydreamer faulty,Hazard
Faulty Lynch Hydreamer replaced with a 20Ton bell dumper,Good Practice
Site car park getting crowded and cars parking slanted,Hazard
Manhole cover removed on manhole along Inworth Road - Potential falling hazard if working in area,Hazard
Site stood down due to weather conditions,Good Practice
Clearly defined crossing point,Good Practice
Lynch operative refused access to site due to his medical having expired.,Good Practice
Good signage in clear and visible position observed at area 28 advising public of site,Good Practice
Plant op in area 17 seen not wearing full ppe,Hazard
Beacons on work site vehicle not switched on while moving throughout site,Hazard
Three Shires quality of work looks impressive,Good Practice
Farmer seen driving fast through field,Hazard
Dust suppression has been arranged for Crown archaeology areas,Good Practice
Paper and plastic cups have gone missing from the office kitchen and canteen over the weekend ,Hazard
"2 three shires operatives working in enclosed area of compound  with mini digger loading logs onto trailer, neither had glasses on ",Hazard
"2 three shires operatives working in enclosed area of compound  with mini digger loading logs onto trailer, neither had glasses on ",Hazard
Kay has conducted an immense piece of work in developing our projects Low Carbon Opportunities Register. This is a vital piece of work that has helped us through the baselining process and one that will continue to help us identify and save carbon throughout the entire project,Good Practice
Bund is starting to crumble in dry heat and is not a metre away from edge of area of excavation in some places on site 28,Hazard
Dust particulates in the air caused by machine movements,Hazard
Fields are slippery and muddy due to weather conditions,Hazard
Lock on MK21 UZF boot broken,Hazard
Soil resource surveys ahead of schedule,Good Practice
New waste signage has been created ,Good Practice
Be prepared for sudden weather changes - refer to weather alerts on rain and lightning,Good Practice
Site operatives littering on site ,Hazard
New waste signage has been created ,Good Practice
"I observed Katie Bateman noticing, via a Teams call, that a worker was outside without their safety goggles. She left the meeting immediately to (I believe) report it to the Works Manager, who then approached the person in question to rectify the situation.",Good Practice
"I noticed that the ramp into the canteen had been repainted to ensure it was visible and prohibited any slips, trips or falls",Good Practice
Create reminders of significant incidents and repeat briefings on the anniversary of these events.,Good Practice
All pre-work at Jarwen archaeology area is completed ready for work commencement,Good Practice
Archaeologists have dealt with and removed a cremation for area 28B very well,Good Practice
Plant called off due to weather conditions,Good Practice
"In the morning at the security gate to Kelvedon compound, there’s times when traffic is backing out onto the public road. This is due to the short access before the gate, the number of vehicles and length of time it takes to scan everyone’s card.",Hazard
Enterprise came to pick up an off hired car for our company (headland) and they sped through site being somewhat rude about it when told to stick to 5 miles per hour. ,Hazard
Grabbing a metal detector from a high shelf and it fell and tumbled over me. No injuries sustained and equipment not damaged in any way.,Hazard
All soil surveys set out,Good Practice
Weather has improved which has dried up some of the fields,Good Practice
"I was pleased to see this Samaritan's poster up in the canteen, just a little reminder to aid with Mental Health",Good Practice
"I was presented with the last batch of paperwork to be scanned in and uploaded - great that we're now paperless with Site access, RAMS, Permits, TBTS etc",Good Practice
Light soap dispenser in mens toilets is empty and needs refilling,Hazard
Overnight rain has caused fields to become muddy which could cause slips/trips/falls,Hazard
Saturated ground ,Good Practice
Overnight rain has caused fields to become muddy which could cause slips/trips/falls,Hazard
Light soap dispenser in mens toilets is empty and needs refilling,Hazard
Conditions too wet to operate machines,Good Practice
Saturated ground ,Good Practice
Grabbing a metal detector from a high shelf and it fell and tumbled over me. No injuries sustained and equipment not damaged in any way.,Hazard
"In the morning at the security gate to Kelvedon compound, there’s times when traffic is backing out onto the public road. This is due to the short access before the gate, the number of vehicles and length of time it takes to scan everyone’s card.",Hazard
Enterprise came to pick up an off hired car for our company (headland) and they sped through site being somewhat rude about it when told to stick to 5 miles per hour. ,Hazard
Item inappropriately placed on top shelf in tool shed which then fell off during access,Hazard
Highways UK event at NEC worthwhile and provided insight into the highways sector of construction,Good Practice
Replaced Eye wash to First Aid box,Good Practice
No eye wash in Crown welfare,Hazard
No way to clean muddy boots before entering cabin on site. ,Good Practice
Subcontactor using mobile phone walking around car park ,Hazard
"Tools on site (field 28) are being stored in the drying room of the welfare cabin, and while there is enough room, it was already beginning to get untidy and some of the orange canes had been stored upside down, a possible hazard. ",Good Practice
"Due to lifting heavy objects from the ground after excavation, despite doing it in a group, it seems I pulled a muscle or something similar on the right side of my back.",Hazard
Mens urinals are all over flowing when flushing. This was witnessed by me and floor is now soaking wet which presents a slip hazard,Hazard
Post and rope segregation absent from lower pit on 28b,Hazard
Leak in gentlemans toilet at Kelvedon causing wet floor. Light cleansing hand soap dispenser empty. ,Hazard
LDC requesting permit without notice,Hazard
Survey at J19 completed without issues,Good Practice
All soil surveys set out,Good Practice
Mud on road outside compound ,Hazard
No hand towels in the compound,Hazard
Significant portion of Headland team not in today removing the opportunity to move onto Jarwen ,Hazard
Major leak in canteen ,Hazard
Major leak in canteen ,Hazard
overflowing urinals reported to Wernick,Good Practice
Lock on MK21 UZF boot broken,Hazard
Operative seen speeding on site,Hazard
Major leak in canteen ,Hazard
All plant stood down until conditions improve,Good Practice
Post and rope has dropped marking plant pedestrian area,Hazard
Muddy access from plant crossong,Hazard
Slightly clay ground. Very wet due to the result of rainy weather. Saw someone slip,Hazard
Manhole cover removed on manhole along Inworth Road - Potential falling hazard if working in area,Hazard
Subcontactor using mobile phone walking around car park ,Hazard
"Due to lifting heavy objects from the ground after excavation, despite doing it in a group, it seems I pulled a muscle or something similar on the right side of my back.",Hazard
Mens urinals are all over flowing when flushing. This was witnessed by me and floor is now soaking wet which presents a slip hazard,Hazard
Post and rope has dropped marking plant pedestrian area,Hazard
Post and rope segregation absent from lower pit on 28b,Hazard
Site car park getting crowded and cars parking slanted,Hazard
"Tools on site (field 28) are being stored in the drying room of the welfare cabin, and while there is enough room, it was already beginning to get untidy and some of the orange canes had been stored upside down, a possible hazard. ",Good Practice
Mattock snapped in half whilst using to open ground,Hazard
Lynch Hydreamer faulty,Hazard
Plant nappies in use along with secure storage of chemicals,Good Practice
Agency worker not wearing hearing protection whilst operating compact tractor and flail,Hazard
Welfare unit and office area were tidy and well organised,Good Practice
Plant nappies in use along with secure storage of chemicals,Good Practice
Significant portion of Headland team not in today removing the opportunity to move onto Jarwen ,Hazard
Muddy access from plant crossong,Hazard
Urinals overflowing,Hazard
Mud on road outside compound ,Hazard
LDC requesting permit without notice,Hazard
Leak in gentlemans toilet at Kelvedon causing wet floor. Light cleansing hand soap dispenser empty. ,Hazard
No hand towels in the compound,Hazard
Slightly clay ground. Very wet due to the result of rainy weather. Saw someone slip,Hazard
Bund is starting to crumble in dry heat and is not a metre away from edge of area of excavation in some places on site 28,Hazard
Dust particulates in the air caused by machine movements,Hazard
Farmer seen driving fast through field,Hazard
Clearly defined crossing point,Good Practice
Dust affecting work in Crown,Hazard
Paper and plastic cups have gone missing from the office kitchen and canteen over the weekend ,Hazard
The ladies drying room at Kelvedon needs to be kept tidy. There is a sweet wrapper on the floor and boots have been left in the middle of the aisle ,Hazard
Survey for Crown backfill all ready,Good Practice
Flooding in the compound,Hazard
Fields are muddy enough for vehicles to get stuck,Hazard
"I observed Katie Bateman noticing, via a Teams call, that a worker was outside without their safety goggles. She left the meeting immediately to (I believe) report it to the Works Manager, who then approached the person in question to rectify the situation.",Good Practice
"I noticed that the ramp into the canteen had been repainted to ensure it was visible and prohibited any slips, trips or falls",Good Practice
Be prepared for sudden weather changes - refer to weather alerts on rain and lightning,Good Practice
Create monthly raffle for observations to boost numbers.,Good Practice
Dust,Good Practice
Fields are slippery and muddy due to weather conditions,Hazard
"I was presented with the last batch of paperwork to be scanned in and uploaded - great that we're now paperless with Site access, RAMS, Permits, TBTS etc",Good Practice
Faulty Lynch Hydreamer replaced with a 20Ton bell dumper,Good Practice
Good briefing to explain the benefits of  observation reporting ,Good Practice
New waste signage has been created ,Good Practice
3 times today i have seen people on their phones in areas they shouldnt be. Elaine challenged the first and i the other 2.  2 were regular office staff and one a driver. each were advised/reminded of the rules and they moved to phone area. ,Hazard
Plant op in area 17 was not wearing seatbelt whilst operating a tractor. Op stopped and spoke to,Hazard
Plant operating in area 17 did not have beacons operating. Closer inspection revealed that none of the front lights worked highlighting lack of plant inspection ,Hazard
No hand towels in the compound,Hazard
Tire has been changed to spare on MK21 UZF as it has not been followed up on from the checked safe app,Hazard
Hand towels have now been provided in womens toilets,Good Practice
Spare tire for MK21 UZF being replaced and Northgate,Good Practice
Hercules site operatives digging out track to remove mud from access track,Good Practice
"Access track to crown very muddy with lots of standing water, splashing everywhere",Hazard
Heavy rain causing conditions difficult to work in for plant and crown,Hazard
Bandages in health and safety box in site 28 out of date and needs refilling,Good Practice
"Wet mud was being transferred into the welfare area and on the mats leading up to it, with no ability to mop/sweep away causing potential slip hazard",Hazard
Flooding in the compound,Hazard
Miscommunication about which areas to open (between site 28a and site 28b) as ground conditions in site 28b were more favourable for running dumpers.,Hazard
Fields muddy enough to get vehicles stuck,Hazard
"Spare tyre for MK""21 UZF being replaced at Northgate",Good Practice
Survey for Crown backfill all ready,Good Practice
No way to clean muddy boots before entering cabin on site. ,Good Practice
Suspicious Cigarette on Site 28 on the ground where archaeologists work has been ongoing,Hazard
Checked that everything in the headland archaeology first aid kids was still in date,Good Practice
Bandages in health and safety box in site 28 out of date and needs refilling,Good Practice
Hand towels have now been provided in womens toilets,Good Practice
Tire for MK21 UZF has been collected from Northgate,Good Practice
Ladies single toilet door is sticking,Hazard
Checked that everything in the headland archaeology first aid kids was still in date,Good Practice
The ladies drying room at Kelvedon needs to be kept tidy. There is a sweet wrapper on the floor and boots have been left in the middle of the aisle ,Hazard
Tire has been changed to spare on MK21 UZF as it has not been followed up on from the checked safe app,Hazard
First aid fire marshal and mental health posters have not been updated and are on the old branding ,Hazard
"Following on from last weeks she assurance, archaeology fls has been reminded about requirement to post and rope off excavations in active environment ",Hazard
Access areas to works are slippy with mud. This is being monitored,Hazard
TM bowser unable to reach welfare at Jarwen due to poor ground conditions,Hazard
"Due to poor ground conditions, welfare moved into an area the bowser can get to",Good Practice
Dozer has been a stood down in 28b to enable cremation to be lifted without risk of ppi ,Good Practice
Goood practice now observed with all open excavations roped off as agreed ,Good Practice
Many areas of the site have deep excavations.,Hazard
Found cremations. Took a professional approach to take it out. ,Good Practice
Weather forecast shows rain for the rest of the week - be aware of where you are walking to prevent slipping,Hazard
The Headland Archaeology input to site diary this week is excellent - keep up the good work!,Good Practice
Pedestrian made complaint about public footpath through crown archaeology area,Hazard
Permit system online updates for improved system - if any issues contact Kay Mason,Good Practice
Pot holes in compound have been filled in,Good Practice
No pedestrian segregation routes on site,Hazard
"While driving down the track to Ex 28, I was stopped with another colleague by a member of the public, who was concerned/upset at the condition of the public footpath, which had unfortunately been driven partly over by several vehicles and left very churned up during the recent bad weather.",Good Practice
First aid fire marshal and mental health posters have not been updated and are on the old branding ,Hazard
"At the compound  access at Kelvedon, the road cone that demarcates the end of the pedestrian access to the compound is constantly being moved to hold the gate in place because it swings when it’s windy, obviously this moves the cone from the primary purpose it serves which is preventing vehicles hitting the pedestrian barriers in the dark.",Hazard
"Spare tyre for MK""21 UZF being replaced at Northgate",Good Practice
Unable to access all the current RAMS on the tablets  ,Hazard
Canteen door by the disabled toilet in sticking ,Hazard
Welfare unit at Jarwen was moved so the bowser could access,Good Practice
T&M bowser unable to reach welfare at Jarwen due to poor ground conditions,Hazard
T&M bowser unable to reach welfare at Jarwen due to poor ground conditions,Hazard
Black hat covering area 28b and not 28a ,Hazard
Fls on 28b has an iPad without charge (this has permit in) they’ve been asked to return to cabin and charge up and to ensure all iPads are charged overnight,Hazard
Open excavations in 28a that need post and rope ,Hazard
No runny water in the cabin,Hazard
Interaction with member of the public,Good Practice
The Headland Archaeology input to site diary this week is excellent - keep up the good work!,Good Practice
Microwave faulty ,Hazard
Weather looking more positive for the rest of the week to make up time,Good Practice
Interaction with member of the public,Good Practice
Pedestrian access is poor. The ground conditions around the perimeter are bad and extremely rutted. People are slipping and I'm frankly surprised nobody has been seriously injured yet. ,Hazard
No running water on compound for Ex 28A. Currently unable to wash hands as a result.,Hazard
Permit system online updates for improved system - if any issues contact Kay Mason,Good Practice
Plant refueling zone is too close to the cabin,Hazard
Well done Lewis (gateman) asked me to wait while he chastised a delivery driver for not following his instructions. Great job!,Good Practice
Footpath designation with cones and chains all out of alignment potential trip,Hazard
Litter on the ground perhaps spilled from the boot of someone’s car,Hazard
"Gate padlock is very difficult to open, and often gets stuck ",Hazard
Well done Lewis (gateman) asked me to wait while he chastised a delivery driver for not following his instructions. Great job!,Good Practice
3no llynch plant drivers spoken to about Ppe compliance - hard hats with no chin straps and not being allowed to wear hard hats under chin straps,Hazard
Plant at Crown had to be stood down due to weather conditions,Hazard
"Good meeting with Katie F sharing ideas to improve the RAMS register for better user experience, accuracy and data quality",Good Practice
Machines stood down due to heavy rain making the ground unsafe to work,Good Practice
Goood practice now observed with all open excavations roped off as agreed ,Good Practice
Found cremations. Took a professional approach to take it out. ,Good Practice
Dozer has been a stood down in 28b to enable cremation to be lifted without risk of ppi ,Good Practice
"Due to slippy conditions directly outside the access to the welfare, I slipped a bit on my first footstep.",Hazard
We requested a boot scraper on site so we could keep the cabins cleaner. We have been provided with one meaning we can clean out boots before entering the cabin. ,Good Practice
Member of the public driving a bike up and down the track in Jarwen,Hazard
Pot holes in compound have been filled in,Good Practice
Individual ladies loo has a door that jams.,Hazard
Welfare  2 roof leaking got lot water on floor ,Hazard
"Good meeting with Katie F sharing ideas to improve the RAMS register for better user experience, accuracy and data quality",Good Practice
Compound car park potholes have been filled in making the track a lot easier to drive on with less standing water,Good Practice
Grass that was planted at EMA 18 growing well near ponds,Good Practice
MHFA course delivered this week was excellent and a real eye opener. Thanks to Katie for organising - thoroughly recommend it to everyone ,Good Practice
Intermittent alarm sounding,Hazard
Site skip is full,Hazard
New gate and signs have been put up to separate the stores area from the PPE free area,Good Practice
TM bowser operative (new to site) seen waking down site access road not using walkways. Operative spoken to at time and then used walkway.,Hazard
